er1143c||||||
NÂ° 				de registro|11095|11096|11097|11098|11099|11100
Horizonte|A21|A22|B21t|B22t|B3ca|Cca
Profundidad 				(cm|05-12|18-25|35-50|60-75|80-95|110-120
Mat.orgÃ¡nica 				(%)|2.61|1.46|1.26|0.13|0.13|0.15
C 				(%)|1.52|0.85|0.73|0.22|0.22|0.09
N 				(%)|0.116|0.099|0.058|0.033|0.031|0.021
C/N|13.10|8.59|12.59|6.67|7.09|3.21
T 				                        <2 Âµ|23.75|26 				44|42.29|43.20|44.01|41.29
E 				                     2-20 Âµ|31.47|30.09|20.92|22.01|23.90|25.31
X 				                     2-50 Âµ|52.97|55.23|41.87|37.08|43.01|49.93
T 				                 50-100 Âµ|2 				32|1.63|1.38|2.66|1.78|1.22
U 				               100-250 Âµ|19.36|15.90|13.85|15.83|10.71|7.14
R 				               250-500 Âµ|-|-|-|-|-|-
A 				             500-1000 Âµ|1.57|0.80|0.61|1.23|0.49|0.42
1000-2000 				Âµ|0.03|-|-|-|-|-
CO3Ca 				(%)|0.0|0.0|0.0|0.0|2.65|1.16
PH 				H2O|8.4|9.9|9.9|10.0|9.8|9.6
PH 				ClK|6.5|8.1|8.2|8.0|7.8|7.5
Conductividad 				(mmhos/cm)|0.88|1.96|1.95|1.46|1.42|1.12
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) =  Valor 				T|14.40|18.60|19.40|31.40|31.80|32.80
% 				Na/T|0.26|0.45|0.47|0.40|0.35|0.27
Equivalente 				de humedad (%)|23.49|25.02|44.01|45.01|45.99|43.17
P 				disponible (ppm)|7.70|4.90|3.60|3.30|3.10|2.50
