ne_de_registro|36|37|38|39|40|41
Horizonte|Ap|B21t|B22t|B31|B32|Cca
Profundidad (cm)|03-15|21-33|29-57|65-79|88-100|107-120
Materia orgÃ¡nica (%)|2.65|1.53|1.03|0.69|0.47|0.47
C/N|10|8|8|7|6|6
T       				                         < 2 Âµ|27.60|41.50|34.60|31.00|27.60|25.50
E                          				    2-20 Âµ|30.70|25.30|28.60|32.00|31.20|33.50
X                          				  20-50 Âµ|67.90|54.60|61.40|64.50|67.50|69.40
T                          				50-100 Âµ|3.30|2.90|2.80|3.40|3.30|3.30
U                        				100-250 Âµ|0.90|0.70|1.00|0.90|1.30|1.30
R                        				250-500 Âµ|0.30|0.30|0.20|0.20|0.30|0.50
A                      				500-1000 Âµ|0.00|0.00|0.00|0.00|0.00|0.00
CO3Ca 				(%)|0.00|0.00|0.00|0.00|0.00|0.30
pH H20|5.7|6.2|6.4|6.4|6.6|7.6
pH ClK|5.3|5.5|5.7|5.7|5.8|6.7
Capacidad de intercambio  catiÃ³nico (m.e./100 g) =  valor T|4.70|3.30|3.30|2.80|1.50|-
Equivalente de humedad (%)|26.90|36.50|32.90|30.00|27.50|27.50
