ne_de_registro|5282|5283|5284|5285|5286|5287|5288
Horizonte|A1|B1|B21t|B22t|B23tca|B3ca|Cca
Profundidad (cm)|00‑10|12‑20|25‑45|55‑75|90‑120|140‑155|160‑180
Materia orgÃ¡nica (%)|5.36|4.99|4.58|3.80|0.85|0.08|0.08
N (%)|0.26|0.25|0.17|0.10|0.05|0.02|0.02
C/N|12|12|15|19|9|2|2
T       				           < 2 Âµ|64.69|61.35|40.35|40.73|52.98|38.46|46.37
E                2-20 Âµ|24.37|24.74|26.57|24.40|22.42|31.38|31.76
X               2-50 Âµ|32.99|35.95|57.36|56.46|45.36|60.32|52.43
T           50-100 Âµ|2.15|1.95|2.14|2.44|1.56|1.18|1.15
U        100-500 Âµ|0.16|0.11|0.16|0.36|0.09|0.04|0.04
R      500-1000 Âµ|0.02|‑|0.00|0.01|0.00|‑|0.02
A    1000-2000 Âµ|0.06|‑|‑|‑|‑|‑|‑
CO3Ca 				(%)|0.4|0.3|-|-|3.7|9.9|1.2
pH H20|7.5|7.5|7.5|7.3|8.0|7.9|7.9
pH ClK|N.D.|N.D.|N.D.|7.0|7.8|7.8|7.7
Capacidad 				de intercambio  catiÃ³nico (m.e./100 g) =  valor T|42.50|44.60|46.50|47.80|‑|‑|‑
Equivalente de humedad (%)|36.04|38.44|37.44|39.57|42.98|37.13|39.98
