er1134c||||||
NÂ° 				de registro|11040|11041|11042|11043|11044|11045
Horizonte|A11|A12|B21t|B22t|B23tca|B3
Profundidad 				(cm)|05-15|25-35|40-60|70-85|95-110|120-140
Mat.orgÃ¡nica 				(%)|4.75|4.01|3.63|2.65|1.87|1.14
C 				(%)|2.76|2.33|2.11|1.54|1.09|0.56
N 				(%)|0.181|0.154|0.118|0.087|0.053|0.044
C/N|15.25|15.13|17.88|17.70|20.57|15.00
T 				                        <2 Âµ|30.01|31.41|46.26|46.53|49.02|48.40
E 				                     2-20 Âµ|38.00|38.77|32.43|33.36|36.24|3722
X 				                     2-50 Âµ|66.65|65.22|51.73|51.70|48.40|48.25
T 				                 50-100 Âµ|1.09|0.86|0.41|0.45|0.49|0.69
U 				               100-250 Âµ|2.14|2.46|1.57|1.28|1.97|2.50
R 				               250-500 Âµ|-|-|-|-|-|-
A 				             500-1000 Âµ|0.09|0.05|0.03|0.04|0.12|0.16
1000-2000 				Âµ|0.02|-|-|-|-|-
CO3Ca 				(%)|0.0|0.0|0.0|0.0|2.39|1.60
PH 				H2O|7.0|7.1|7.2|7.9|8.4|8.6
PH 				ClK|6.1|5.8|5.8|6.3|7.0|7.0
Conductividad 				elÃ©ctrica mmhos/cm|0,33|0,37|0,36|0,42|0,46|0,42
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) =  Valor 				T|30,04|30,80|46,20|46,52|48,90|48,21
% 				Na/T||||||
Equivalente 				de humedad (%)|32.57|33.04|48.20|48.27|48.65|48.22
P 				disponible (ppm)|5.00|4.50|3.80|3.60|3.30|3.10
