er3_34c|||||
NÂº 				de registro|749|750|751|752|753
Horizonte|A1|B21|B22|B31ca|B32ca
Profundidad 				(cm)|0-15|17-30|35-55|70-85|120-140
Mat.orgÃ¡nica 				(%)|4.48|3.44|2.97|1.05|0.10
C 				(%)|2.59|1.99|1.72|0.61|0.06
N 				(%)|0.227|0.156|0.130|0.051|-
C/N|11|13|13|11|-
T 				                            <2 Âµ|31.5|28.0|33.8|44.0|41.0
E 				                         2-20 Âµ|26.5|30.0|25.5|23.8|27.5
X 				                        2-50 Âµ|59.8|63.1|57.2|52.7|57.9
T 				                     50-100 Âµ|1.3|1.6|1.4|0.4|0.3
U          				          100-250 Âµ|4.6|4.6|4.7|1.7|0.5
R 				                   250-500 Âµ|2.8|2.7|2.9|1.2|0.3
A 				                 500-1000 Âµ|0.0|0.0|0.0|0.0|0.0
CO3Ca 				(%)|0.2|0.0|0.0|10.5|10.5
pH 				H2O|7.3|6.9|7.1|8.2|8.3
pH 				ClK|6.3|5.9|6.0|6.5|6.7
Conductividad(mmhos/cm)|-|-|-|-|-
Capacidad 				de intercambio   catiÃ³nico 				(m.e./100 g) =  Valor 				T|41.4|38.0|38.5|42.0|42.9
% 				Na/T|1.9|5.3|6.8|10.6|9.6
Equivalente 				de humedad (%)|39.0|37.2|41.0|54.7|56.8
