n_de_registro|8661|8662|8663|8664|8665|8666
Horizonte|A1|B21t|B22t|B31ca|B32ca|C
Profundidad (cm)|02-09|15-30|35-43|50-70|80-90|105-115
Materia orgÃ¡nica (%)|4.06|2.07|1.43|0.79|0.15|0.07
N (%)|0.21|0.10|0.08|0.05|0.06|0.03
C/N|10.81|11.15|9.30|7.72|1.23|1.25
T       				          < 2 Âµ|26.86|43.00|53.28|54.53|50.01|47.81
E               2-20 Âµ|35.06|29.87|21.34|22.12|22.14|22.90
X               2-50 Âµ|61.01|51.60|43.24|38.59|45.72|44.89
T           50-100 Âµ|5.33|2.99|2.66|4.88|1.37|3.24
U         100-500 Âµ|6.78|2.39|0.81|1.99|2.87|4.04
R       500-1000 Âµ|0.02|0.02|0.01|0.01|0.03|0.02
A     1000-2000 Âµ|-|-|-|-|-|-
CO3Ca 				(%)|vest.|vest.|0.79|2.97|2.29|0.19
pH H2O|6.9|7.2|7.8|8.1|8.1|7.7
pH ClK|6.1|6.3|6.6|6.9|6.8|6.1
C.E. 				(mmhos/cm)|2.12|1.42|1.60|1.49|1.28|0.86
Capacidad 				 de intercambio  CatiÃ³nico (meq/100 g) =  valor T|30.8|36.6|40.0|40.0|38.0|37.2
% Na/T|3.25|3.82|5.00|5.50|5.26|5.38
Equivalente de humedad (%)|27.78|48.00|52.36|52.12|49.30|46.57
