er33c|||||
NÂº 				de registro|111|112|113|114|115
Horizonte|Ap|B21|B22ca|B3ca|C
Profundidad 				(cm)|05-18|37-55|67-80|96-110|118-132
Mat.orgÃ¡nica 				(%)|4.29|3.19|1.38|0.60|0.28
C/N|10|10|9|8|7
|||||
CO3Ca 				(%)|3.3|0.9|15.6|17.1|2.2
pH 				H2O 				(1:2,5)|7.6|7.7|8.2|8.4|8.2
pH 				ClK (1:2,5)|7.1|6.9|7.3|7.4|7.2
CIC 				(meq/100 g)|45.1|48.1|44.3|42.5|43.0
Mg++|ND|ND|ND|ND|ND
K+|1.8|1.1|1.2|1.1|1.3
Na+|0.1|1.2|3.5|4.8|4.9
H+|ND|ND|ND|ND|ND
% 				Na / CIC|0.2|2.5|7.9|11.3|11.4
Equivalente 				de Humedad (%)|36.7|47.1|50.7|53.1|52.8
