ereea_c_del_uruguay||||||
Horizonte|A1p|A12|B21|B22|Bcca|Cca
Profundidad 				(cm|0-10|10-25|25-55|55-75|75-100|100-125
Mat.orgÃ¡nica 				(%)|4.47|2.97|3.18|2.32|0.94|0.49
C 				(%)|2.60|1.73|1.86|1.35|0.55|0.29
N 				(%)|0.228|0.118|0.114|0.070|0.033|0.025
C/N|11|15|16|19|15|12
T 				                       <2 Âµ|35.1|44.7|45.1|53.6|59.4|55.3
E 				                    2-20 Âµ|39.7|28.6|35.4|28.6|21.8|31.7
X 				                   2-50 Âµ|54.2|43.2|47.2|40.9|37.7|41.8
T 				                50-100 Âµ|0.7|0.8|0.6|0.4|0.2|0.2
U 				             100-500 Âµ|5.6|6.2|3.8|2.9|1.5|1.4
R 				            500-1000 Âµ|4.4|4.9|3.3|2.0|1.1|1.2
A 				         1000-2000 Âµ|0|0.2|0|0.2|0.1|0.1
CO3Ca 				(%)|1.8|0|0.5|8.1|7.8|1.8
pH 				H2O|7.6|7.3|8.4|8.5|8.6|8.5
pH 				ClK|6.9|6.4|6.8|7.2|7.2|7.0
Resistencia 				en pasta Ohms|915|1406|1075|1158|1033|992
Conductividad 				elÃ©ctrica mmhos/cm|0.9|-|-|-|-|0.3
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) = Valor 				T|54.6|47.0|61.0|55.8|56.1|53.8
%Na/T|0.01|0.02|0.05|0.08|0.12|0.13
Equivalente 				de humedad (%)|43.3|39.8|57.9|61.6|66.1|65.5
Factor 				de   Humedad|1.09|1.08|1.11|1.10|1.10|1.10
FÃ³sforo 				asimilable ppm|6.5|5.0|-|-|-|-
