315c_inta_castelar||||
NÂ° 				de registro||||
Horizonte|A1|C1|IIC2|IIIC3
Profundidad 				(cm)|5-10|20-50|90-110|125-140
Mat. 				orgÃ¡nica (%)|0.57|0.33|0.14|-
C 				(%)|0.33|0.19|0.08|-
N 				(%)|0.060|-|-|-
C/N|6|-|-|-
T 				                              <2 Âµ|9.7|8.0|6.6|19.2
E 				                           2-20 Âµ|5.0|3.7|0.5|32.3
X 				                           2-50 Âµ|6.5|5.0|3.0|56.3
T 				                         50-74 Âµ|0.1|0.1|0.1|0.9
U 				                      74-100 Âµ|0.1|0.1|0.1|0.6
R 				                    100-250 Âµ|42.7|48.3|40.2|16.0
A 				                    250-500 Âµ|40.4|35.2|49.0|7.0
500-1000 Âµ|0.5|3.3|1.0|-
1000-2000 Âµ|-|-|-|-
||||
CO3Ca 				(%)|0|0|0|0
Equivalente 				de humedad  (%)|5.0|3.9|2.8|22.7
Resistencia 				de la pasta (Ohms/cm)|7095|29684|50680|10426
pH 				en pasta|4.5|4.4|5.6|5.6
pH 				en agua (1:2,5)|5.5|5.5|5.8|6.0
pH 				en KCl (1:2,5)|3.9|3.9|4.3|4.2
Conductividad 				(mmhos/cm)|-|-|-|-
Mg++|1.30|0.70|0.50|4.2
Na+|0.10|0.05|0.05|0.2
K+|0.15|0.05|0.05|0.2
H+|2.60|2.20|1.00|4.4
Na+ 				% del valor T|3|2|4|2
Suma 				de bases, m.e./100 gr (S)|3.40|1.30|0.90|9.2
C.I.C., 				m.e./100 gr (T)|3.60|2.40|1.20|10.5
SaturaciÃ³n 				con bases, (%) (S/T)|94|54|75|88
