er7122c||||||
NÂº 				de registro|2057|2058|2059|2060|2061|2062
Horizonte|A1|B1|B21t|B22t|B3|C
Profundidad 				(cm)|07-15|21-30|35-45|55-65|75-95|120-130
Materia 				orgÃ¡nica (%)|4.7|1.9|1.5|1.0|0.7|0.5
N 				(%)|0.18|0.09|0.07|0.06|0.05|0.04
C/N|15|11|12|9|9|6
T 				                     < 2 Î¼|27.32|38.15|38.58|35.58|34.24|33.85
E 				                   2-20 Î¼|33.22|25.39|24.04|35.01|25.07|25.68
X 				                   2-50 Î¼|62.42|53.74|52.42|55.96|56.92|56.52
T 				               50-100 Î¼|1.25|0.93|0.89|1.22|1.62|1.34
U 				             100-500 Î¼|8.99|7.09|8.02|7.16|7.18|8.19
R 				           500-1000 Î¼|0.02|0.09|0.09|0.08|0.04|0.10
A||||||
||||||
CO3Ca 				(%)|-|-|-|-|-|0.23
pH 				H2O|6.3|6.6|6.8|7.6|7.5|7.6
pH 				ClK|5.5|5.6|5.7|6.5|6.1|6.1
CE 				(mmhos/cm)|0.539|0.508|0.231|0.180|0.219|0.161
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|25.55|37.18|37.62|35.12|31.79|31.56
d 				    Ca++|19.01|31.39|31.71|29.68|25.93|25.40
C 				 e||||||
a 				         Mg++|2.10|2.21|2.14|2.88|2.76|3.04
t 				   c||||||
i 				   a     K+|1.72|0.86|0.92|1.05|0.88|0.90
o 				  m||||||
n 				  b     Na+|0.43|0.32|0.95|1.00|1.20|0.93
e 				  i||||||
s 				  o     H+|-|-|-|-|-|-
||||||
% 				Na/T|1.68|0.86|2.52|2.85|3.77|2.95
||||||
Equivalente 				de humedad (%)|27.20|36.65|37.41|35.87|33.90|33.37
FÃ³sforo 				asimilable (ppm)|15.66|4.21|2.29|1.67|1.05|0.43
