er7144c|||||||
NÂ° 				de registro|9126|9127|9128|9129|9130|9131|9132
Horizonte|A1|B1|B21|B22|B31ca|B32ca|Cca
Profundidad 				(cm|0-19|19-29|30-40|50-70|80-95|100-125|125+
Mat.orgÃ¡nica 				(%)|3.76|2.31|1.90|1.17|0.81|0.14|0.15
N 				(%)|0.185|0.134|0.089|0.047|0.021|0.016|0.09
C/N|11.78|10.00|12.36|14.47|22.38|5.00|0.01
T 				                       <2 Âµ|25.52|26.26|27.99|28.01|30.24|28.97|29.75
E 				                    2-20 Âµ|13.02|12.52|14.76|14.61|18.04|16.41|16.99
X 				                    2-50 Âµ|27.84|22.41|21.24|25.17|36.21|35.22|33.70
T 				                 50-100 Âµ|0.59|0.45|0.32|0.45|0.32|0.32|0.25
U 				              100-500 Âµ|41.80|45.96|45.33|42.24|30.49|33.10|32.55
R 				             500-1000 Âµ|3.53|3.89|4.16|3.78|2.31|1.94|3.12
A 				          1000-2000 Âµ|0.72|1.03|0.96|0.35|0.43|0.45|0.63
CO3Ca 				(%)|-|-|-|-|10.53|15.02|10.92
pH 				H2O|6.5|6.5|6.6|6.8|7.3|8.0|8.1
pH 				ClK|5.5|5.7|5.4|5.8|6.9|7.1|7.2
Conductividad 				elÃ©ctrica mmhos/cm|0.962|0.385|0.423|0.365|0.693|0.724|0.631
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) =  Valor 				T|24.54|24.75|25.92|26.66|28.94|27.91|27.87
%Na/T|2.12|2.22|1.39|2.81|3.70|4.66|4.48
Equivalente 				de humedad (%)|27.37|24.42|25.14|25.79|28.26|26.34|27.18
FÃ³sforo 				asimilable ppm|3.8|3.7|3.2|2.9|2.2|2.0|2.0
