er188c||||||
NÂº 				de registro|7226|7227|7228|7229|7230|7231
Horizonte|A1|B1|IIB21t|IIB22t|IIB3ca|IICca
Profundidad 				(cm)|03-20|27-37|41-48|53-78|82-100|100-130
Materia 				orgÃ¡nica (%)|2.41|2.01|1.41|0.52|0.30|0.23
N 				(%)|0.13|0.15|0.08|0.04|0.03|0.02
C/N|10|10|10|7|5|6
T 				                    < 2 Âµ|13.67|18.02|26.09|32.15|26.62|26.01
E 				                  2-20 Âµ|15.81|12.20|10.65|10.85|15.85|16.98
X 				                 2-50 Âµ|28.68|28.03|28.19|33.67|40.34|35.01
T 				              50-100 Âµ|2.93|2.08|2.67|3.02|2.23|2.27
U 				           100-500 Âµ|49.51|47.94|38.26|27.94|27.17|33.26
R 				         500-1000 Âµ|4.86|3.71|4.29|2.58|2.88|2.73
A 				       1000-2000 				Âµ|0.35|0.18|0.50|0.64|0.76|0.72
||||||
CO3Ca 				(%)|0.0|0.0|0.0|0.0|6.99|8.25
pH 				H20|5.7|5.5|5.8|6.1|7.8|7.9
pH 				ClK|5.0|4.9|5.1|5.3|6.9|7.0
C.E.(mmhos/cm)|0.4|0.3|0.3|0.3|0.8|0.8
Capacidad 				de intercambio catiÃ³nico 				(m.e./100 g) = valor 				T|15.80|19.50|22.30|27.90|23.20|22.90
Equival. 				de humedad (%)|13.83|16.46|23.39|28.38|25.90|24.85
