er1141c||||||
NÂ° 				de registro|11083|11084|11085|11086|11087|11088
Horizonte|A11|A12|B21t|B22t|B3ca|Cca
Profundidad 				(cm|03-12|20-28|35-55|60-70|80-95|125-135
Mat.orgÃ¡nica 				(%)|3.65|2.86|1.87|0.98|0.74|0.14
C 				(%)|2.12|1.66|1.09|0.57|0.43|0.08
N 				(%)|0.160|0.118|0.082|0.057|0.030|0.021
C/N|13.25|14.07|13.29|10.00|14.33|3.81
T 				                        <2 Âµ|20 				11|21.58|41.04|38.61|35.29|30.19
E 				                     2-20 Âµ|25.17|23.43|22.14|25.80|27.30|27.95
X 				                     2-50 Âµ|42.48|40.81|34.50|43.16|47.67|34.21
T 				                 50-100 Âµ|0.79|0.55|0.59|0.47|0.38|0.52
U 				               100-250 Âµ|32.07|3251|20.55|15.07|15.30|30.41
R 				               250-500 Âµ|-|-|-|-|-|-
A 				             500-1000 Âµ|4.51|4.53|3.30|2.67|1.35|4.61
1000-2000 				Âµ|0.04|0.02|0.02|0.02|0.01|0.06
CO3Ca 				(%)|0.0|0.0|0.0|0.0|7.51|1.04
PH 				H2O|6.3|6.3|7.1|7.7|8.6|8.5
PH 				ClK|5.3|5.2|6.0|6.1|7.3|7.2
Conductividad 				(mmhos/cm)|0.25|0.14|0,46|0,25|0.47|0.62
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) =  Valor 				T|22.88|23.64|41.58|37.81|38.10|31.20
% 				Na/T|0.01|0.01|0.02|0.06|0.06|0.07
Equivalente 				de  humedad  (%)|22.96|21.22|39.31|39.27|33.81|28.37
P 				disponible  (ppm)|9.80|6.70|3.90|3.60|3.40|3.10
