er3_49c|||||
Horizonte|A1|IIB21|IIB22|IIB31ca|IIB32ca
Profundidad 				(cm)|7-18|27-38|43-53|60-80|92-100
Mat.orgÃ¡nica 				(%)|2,71|1,83|1,55|1,24|0,38
C 				(%)|1,57|1,06|0,9|0,72|0,22
N 				(%)|0,163|0,121|0,114|0,086|0,049
C/N|10|9|9|8|5
|||||
CO3Ca 				(%)|0,0|0,0|0,0|4,7|9,0
% 				SaturaciÃ³n de Agua|58,0|69,0|74,0|69,0|68,3
Equivalente 				de Humedad (%)|22,9|38,8|38,5|33,9|33,0
pH 				en pasta|8,0|6,5|7,3|7,8|7,8
pH 				en agua (1:2,5)|6,5|7,1|7,8|8,2|8,2
pH 				en ClK (1:2,5)|5,3|5,7|6,4|7,0|7,0
Conductividad 				(mmhos/cm)|-|-|-|-|0,6
Sales 				solubles grs (%)|-|-|-|-|-
Resistencia 				en pasta|3532|1764|1412|1112|850
Mg 				++|2,9|3,0|4,2|ND|ND
Na 				++|1,0|2,7|3,0|3,7|3,7
K 				++|0,3|0,4|0,6|0,6|0,6
Valor 				S (m.e./ 100 gr)|223|39,4|41,7|ND|ND
H 				de cambio (m.e. / 100 gr)|2,1|2,1|2,1|ND|ND
Valor 				T (m.e. / 100 gr)|24,6|40,8|43,0|35,7|35,4
% 				de saturaciÃ³n de T|91|97|97|ND|ND
% 				de saturaciÃ³n de S + H|-|-|-|-|-
% 				Na / T|4,1|6,6|7,0|10,4|10,5
