er720c|||||||
NÂº 					de registro|3223|3224|3225|3226|3227|3228|3229
Horizonte|A1|B1|B21t|B22t|B31ca|B32ca|Cca
Profundidad 					(cm)|00-11|13-17|25-33|44-58|66-76|85-100|115-135
Materia 					orgÃ¡nica (%)|6.78|3.96|2.06|1.58|0.89|0.62|0.55
N 					(%)|0.32|0.17|0.12|0.08|0.05|0.03|0.02
C/N|12|13|10|11|10|12|16
T 					            < 2 Î¼|26.64|33.69|49.14|52.69|42.69|38.16|38.83
E 					          2-20 Î¼|38.39|35.11|27.70|29.82|28.34|30.22|32.76
X 					         2-50 Î¼|72.81|65.79|50.49|47.08|53.33|61.57|60.92
T 					      50-100 Î¼|0.05|0.03|0.07|0.02|0.02|0.01|0.01
U 					    100-250 Î¼|0.26|0.27|0.18|0.12|3.86|0.13|0.14
R 					    250-500 Î¼|0.22|0.00|0.01|0.01|0.01|0.01|0.01
A 					  500-1000 Î¼|0.02|0.01|0.01|0.01|0.01|0.01|0.01
CO3Ca 					(%)|0.0|0.0|0.0|0.1|11.0|9.0|7.0
pH 					H2O|5.9|5.6|6.4|7.2|7.8|8.1|8.1
pH 					ClK|5.6|5.3|5.9|6.6|7.3|7.4|7.3
Capacidad 					de intercambio  catiÃ³nico 					(m.e./100 g) =  valor 					T|29.26|35.02|43.21|50.62|45.77|38.90|38.78
d 					    Ca++|23.66|20.00|32.77|N.D.|N.D.|N.D.|N.D.
C 					 e|||||||
a 					         Mg++|1.29|2.89|7.40|N.D.|N.D.|N.D.|N.D.
t 					   c|||||||
i 					   a     K+|0.14|0.07|0.12|0.07|0.32|0.30|0.34
o 					  m|||||||
n 					  b     Na+|0.30|0.82|1.72|2.10|2.35|2.25|2.55
e 					  i|||||||
s 					  o     H+|3.87|11.30|1.20|N.D.|N.D.|N.D.|N.D.
% 					Na/T|1.03|2.34|3.98|4.15|5.13|5.78|6.58
|||||||
P 					asimilable (ppm)|5.8|2.7|0.8|1.6|1.0|0.8|N.D.
