er411c|||||
NÂº 				de registro|545|546|547|548|549
Horizonte|A1|B21|B22|B3ca|Cca
Profundidad 				(cm)|05-15|25-36|55-65|80-90|115-130
Mat.orgÃ¡nica 				(%)|4.87|2.61|2.04|1.08|0.22
C 				(%)|2.82|1.51|1.18|0.63|0.13
N 				(%)|0.290|0.116|0.090|0.048|0.019
C/N|10|13|13|13|7
T 				                           <2 Âµ|37.7|49.2|49.5|43.0|48.5
E 				                        2-20 Âµ|16.3|13.1|13.6|19.5|14.6
X 				                        2-50 Âµ|53.0|43.3|42.4|52.3|46.2
T 				                    50-100 Âµ|1.5|1.6|1.6|1.0|0.8
U          				        100-250 Âµ|5.5|4.3|4.4|2.7|1.9
R 				                 250-500 				Âµ|2.3|1.6|2.1|1.0|2.6
A 				               500-1000 Âµ|0.0|0.0|0.0|0.0|0.0
CO3Ca 				(%)|0.0|0.0|1.0|12.1|8.7
pH 				H2O|5.8|6.9|7.6|7.7|7.9
pH 				ClK|5.3|6.0|6.7|6.6|6.6
Conductividad(mmhos/cm)|-|-|-|-|-
Capacidad 				de intercambio   catiÃ³nico 				(m.e./100 g) =  Valor 				T|41.0|50.4|43.6|36.3|37.4
% 				Na/T|1.5|4.4|8.7|11.6|12.0
Equivalente 				de humedad (%)|40.4|50.7|52.4|52.9|55.6
