er332c|||||
NÂº 				de registro|739|740|741|742|743
Horizonte|A1|B21t|B22t|B23ca|B3ca
Profundidad 				(cm)|00-12|13-22|26-37|50-62|76-95
Mat.orgÃ¡nica 				(%)|3.33|1.90|1.72|1.35|1.04
C 				(%)|1.94|1.10|1.00|0.79|0.61
N 				(%)|0.189|0.107|0.099|0.075|0.064
C/N|10|10|10|10|9
T 				                            <2 Âµ|29.1|34.5|41.2|48.7|42.4
E 				                         2-20 Âµ|34.5|35.2|31.2|21.0|29.1
X 				                         2-50 Âµ|70.0|64.5|57.9|50.8|56.8
T 				                     50-100 Âµ|0.3|0.3|0.3|0.2|0.3
U          				          100-250 Âµ|0.5|0.4|0.3|0.2|0.2
R 				                   250-500 Âµ|0.2|0.3|0.3|0.1|0.2
A 				                 500-1000 Âµ|0.0|0.0|0.0|0.0|0.0
CO3Ca 				(%)|0.0|0.0|0.0|1.4|1.3
pH 				H2O|5.7|6.5|7.2|7.7|7.7
pH 				ClK|5.0|5.4|6.0|6.5|6.6
Capacidad 				de intercambio catiÃ³nico 				(m.e./100 g) = Valor 				T|27.1|33.0|39.8|40.2|38.4
% 				Na/T|2.9|4.5|5.3|6.9|7.3
Equivalente 				de humedad (%)|33.1|40.0|47.5|50.2|49.5
SO4Ca 				(g/%)|-|-|-|0.1|-
