er76cb|||||
NÂº 				de registro|3081|3082|3083|3084|3085
Horizonte|A1|B21t|B22t|B3ca|Cca
Profundidad 				(cm)|05-15|25-40|57-73|85-100|115-130
Materia 				orgÃ¡nica (%)|6.58|3.06|1.98|1.28|0.64
N 				(%)|0.27|0.15|0.07|0.04|0.03
C/N|14|12|16|18|12
T 				             < 2 Î¼|34.39|45.62|51.28|47.42|43.82
E 				           2-20 Î¼|32.07|28.34|31.73|30.38|29.75
X 				          2-50 Î¼|64.26|53.04|48.43|52.32|56.12
T 				       50-100 Î¼|0.37|0.37|0.08|0.10|0.04
U 				     100-500 Î¼|0.91|0.96|0.20|0.15|0.07
R 				   500-1000 Î¼|0.07|0.05|0.01|0.01|0.02
A 				 1000-2000 Î¼|0.00|0.00|0.00|0.00|0.00
CO3Ca 				(%)|0.0|0.0|0.1|7.2|10.1
pH 				H2O|5.5|5.8|7.5|8.3|8.4
pH 				ClK|5.3|5.5|6.9|7.3|7.3
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|33.30|46.85|47.95|59.24|54.60
d 				    Ca++|26.54|32.42|33.82|48.08|50.60
C 				 e|||||
a 				         Mg++|4.20|12.30|7.84|8.40|1.76
t 				   c|||||
i 				   a     K+|0.65|0.50|0.50|0.53|0.36
o 				  m|||||
n 				  b     Na+|1.50|1.27|0.97|1.05|1.12
e 				  i|||||
s 				  o     H+|0.42|0.36|4.81|1.19|0.76
