n_de_registro|21239|21240|21241|21242
Horizonte|I|II|III|IV
Profundidad 				(cm)|0-20|20-50|50-80|80-120
Mat. 				orgÃ¡nica (%)|3.37|23.43|17.54|8.26
C 				(%)|1.96|13.62|10.20|4.80
N 				(%)|0.160|0.756|0.90|0.43
C/N|12|18|11|10
T 				                          <2 Âµ|47.0|64.8|56.3|59.8
E 				                       2-20 Âµ|34.4|23.0|29.1|30.2
X 				                       2-50 Âµ|52.3|32.6|37.8|35.7
T 				                     50-74 Âµ|0.5|1.3|2.4|2.1
U 				                   74-100 Âµ|0.1|1.2|2.5|1.3
R 				                 100-250 Âµ|0.1|0.1|1.0|1.1
A 				                 250-500 Âµ|-|-|-|-
||||
Gravilla 				(> 7) Tosca Ca %|-|-|-|-
CaCO3 				(%) V|-|-|-|-
Equiv. 				de humedad (%)|48.1|61.5|51.9|44.9
Resistencia 				de la pasta (Ohms/cm)|1487|3123|2231|1041
pH 				en pasta|4.3|4.6|4.4|3.9
pH 				en agua (1 . 2,5)|4.5|4.9|4.6|4.1
pH 				en l N KCl (1 : 2,5)|3.7|3.9|3.8|3.4
Conductividad 				(mmhos/cm)|-|-|-|-
Mg++|6.4|5.9|5.8|3.3
Na+|0.7|1.8|1.8|1.7
K+|1.0|0.5|0.5|0.7
% 				Na+ 				en cambio de v. T|2.28|2.84|3.6|4.4
% 				de agua de saturaciÃ³n|81|100|81|77
Valor 				S (m.e./100 g)|12.7|26.1|21.8|18.4
H 				de cambio (m.e./100 g)|23.2|45.1|34.1|29.6
Valor 				T (m.e./100) NH4++ 				 o 				Na+|31.1|63.4|50.0|38.8
% 				de saturaciÃ³n de T|41|41|44|47
% 				de saturaciÃ³n de S + H|35|37|39|38
FÃ³sforo 				asimilable (ppm)|-|-|-|-
Factor 				de humedad|1.14|1.28|1.08|1.11
