er28c||||||
NÂ° 				de registro|158|159|160|161|162|163
Horizonte|Ap|B1|B21t|B22t|B3ca|Cca
Profundidad 				(cm|05-12|20-25|40-55|75-83|100-115|140-155
Mat.orgÃ¡nica 				(%)|3.90|2.80|1.60|1.00|0.60|0.30
C/N|11.00|11.00|10.00|10.00|9.00|8.00
T 				                        <2 Âµ|29.00|30.80|50.30|52.10|46.00|46.00
E 				                     2-20 Âµ|33.50|30.80|22.10|20.00|26.50|25.50
X 				                    2-50 Âµ|67.10|65.20|46.20|44.10|50.10|49.50
T 				                 50-100 Âµ|1.90|1.70|2.10|2.20|2.00|2.30
U 				              100-250 Âµ|1.30|1.50|0.90|1.00|1.20|1.50
R 				               250-500 Âµ|0.70|0.80|0.50|0.60|0.70|0.70
A 				            500-2000 Âµ|0.00|0.00|0.00-|0.00|0.00|0.00
CO3Ca 				(%)|||-|-|0.40|0.60
pH 				H2O|5.3|5.3|6.0|6.7|7.3|7.4
pH 				ClK|4.9|4.9|5.2|5.9|6.5|6.5
CE 				(mmhos/cm)|-|-|-|-|-|-
||||||
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) = Valor 				T|24.10|23.00|36.10|37.20|35.10|33.00
%Na/T|1.70|1.30|1.10|1.60.|1.70|1.50
Equiv. 				de humedad (%)|29.10|28.90|45.70|46.00|41.40|39.70
P 				disponible (ppm)|-|-|-|-|-|-
