er317c||||||
NÂº 				de registro|282|283|284|285|286|287
Horizonte|A1|A3|B21t|B22t|B31|B32
Profundidad 				(cm)|05-15|20-32|50-68|80-95|110-135|145-170
Materia 				orgÃ¡nica (%)|3.1|2.0|1.0|0.4|0.3|0.2
N 				(%)|0.20|0.11|0.06|0.03|0.02|ND
C/N|9|10|9|7|6|ND
T 				                     < 2 Î¼|24.7|25.6|46.4|39.4|35.7|26.4
E 				                   2-20 Î¼|32.2|34.7|22.2|29.3|32.2|39.7
X 				                   2-50 Î¼|69.4|69.0|48.9|56.0|57.8|72.8
T 				               50-100 Î¼|4.3|4.0|3.9|3.9|5.4|1.0
U 				             100-250 Î¼|1.1|1.0|0.5|0.5|0.8|0.3
R 				             250-500 Î¼|0.4|0.4|0.3|0.2|0.3|0.1
A 				           500-1000 Î¼|0.1|0.0|0.0|0.0|0.0|0.0
||||||
CO3Ca 				(%)|0.0|0.0|0.0|0.3|0.0|0.0
pH 				H2O|5.5|5.4|6.2|6.9|6.8|7.0
pH 				ClK|5.0|5.0|5.3|6.1|5.9|6.1
CE 				(mmhos/cm)|-|-|-|-|-|-
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|20.4|19.0|31.0|26.0|23.2|23.3
d 				    Ca++|11.9|11.5|19.0|-|14.0|14.3
C 				 e||||||
a 				         Mg++|2.9|2.7|6.9|-|5.9|5.9
t 				   c||||||
i 				   a     K+|1.5|0.8|1.6|1.5|1.4|1.4
o 				  m||||||
n 				  b     Na+|0.2|0.2|0.3|0.4|0.4|0.5
e 				  i||||||
s 				  o     H+|5.0|5.0|4.1|-|2.1|1.5
||||||
% 				Na/T|0.98|1.05|0.97|1.54|1.72|2.15
||||||
Equivalente 				de humedad (%)|26.2|26.4|41.0|33.3|31.0|30.1
FÃ³sforo 				asimilable (ppm)|-|-|-|-|-|-
