er771c|||||
NÂº 				de registro|5225|5226|5227|5228|5229
Horizonte|Ap|B21t|B22t|B3ca|CR
Profundidad 				(cm)|04-12|20-30|35-50|60-70|80-120
Mat.orgÃ¡nica 				(%)|4.95|3.23|2.60|0.91|0.22
N 				(%)|0.03|N.D.|N.D.|N.D.|N.D.
C/N|N.D.|N.D.|N.D.|N.D.|N.D.
CO3Ca 				(%)|-|-|-|13.0|5.4
pH 				H2O|6.8|6.7|7.1|8.3|8.3
pH 				ClK|5.5|5.3|5.8|7.0|6.8
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) = Valor 				T|39.80|43.90|41.30|N.D.|N.D.
|||||
d 				      Ca ++|31.70|37.60|35.40|-|-
C 				    e|||||
a 				             Mg++|3.40|3.10|2.80|-|-
t 				     C|||||
i 				      a       K+|0.82|0.65|0.58|0.61|0.68
o 				    m|||||
n 				    b       Na+|0.69|0.57|0.92|1.03|1.15
e 				     i|||||
s 				     o       H+|1.40|0.90|0.90|-|-
% 				Na/T|1.73|1.30|2.23|-|-
|||||
Equivalente 				de humedad (%)|-|-|-|-|-
P 				asimilable (P2O5)|-|-|-|-|-
