er7119c||||||
NÂº 				de registro|1734|1735|1736|1737|1738|1739
Horizonte|Ap|A12|B21t|B22t|B3|Cca
Profundidad 				(cm)|00-10|16-25|35-50|60-85|95-110|128-140
Materia 				orgÃ¡nica (%)|4.80|3.60|2.19|1.34|0.92|0.35
N 				(%)|0.21|0.16|0.10|0.07|0.05|0.03
C/N|13.3|12.8|12.3|10.4|11.1|6.45
T 				                     < 2 Î¼|26.47|27.52|44.80|47.28|44.89|44.51
E 				                   2-20 Î¼|35.03|34.23|24.82|24.64|27.96|27.99
X 				                   2-50 Î¼|70.66|69.96|53.21|50.57|53.56|53.59
T 				               50-100 Î¼|1.17|0.87|0.75|0.49|0.42|0.62
U 				             100-500 Î¼|1.68|1.64|1.21|1.65|1.22|1.26
R 				           500-1000 Î¼|0.02|0.01|0.03|0.01|0.01|0.02
A||||||
||||||
CO3Ca 				(%)|0.0|0.0|0.0|0.0|0.0|5.38
pH 				H2O|5.9|5.8|6.2|6.8|7.5|8.0
pH 				ClK|5.5|5.0|5.2|5.7|6.5|7.0
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|29.5|24.0|36.6|44.2|39.1|30.5
d 				    Ca++|15.2|15.6|22.8|27.7|29.7|ND
C 				 e||||||
a 				         Mg++|0.8|0.4|1.6|2.4|1.0|ND
t 				   c||||||
i 				   a     K+|0.9|0.8|0.8|0.9|0.9|0.9
o 				  m||||||
n 				  b     Na+|-|-|-|-|-|-
e 				  i||||||
s 				  o     H+|-|-|-|-|-|-
||||||
% 				Na/T|-|-|-|-|-|-
||||||
Equivalente 				de humedad (%)|28.30|28.97|43.67|49.93|46.86|42.27
FÃ³sforo 				asimilable (ppm)|10.64|3.62|2.31|2.31|1.66|0.39
