er171c||||||||
NÂº 				de registro|4454|4455|4456|4457|4458|4459|4460|4461
Horizonte|A11|A12|A2|B21t|B22t|B23|B31|B32
Profundidad 				(cm)|01-08|11-19|22-30|35-50|55-74|80-90|110-125|130-145
Mat.orgÃ¡nica 				(%)|6.74|4.33|2.89|1.99|1.38|1.24|0.83|0.62
C/N|14|14|12|14|12|14|10|11
T||||||||
E 				                           <2 Âµ|28.32|30.07|25.91|44.13|45.98|42.15|39.01|34.99
X 				                        2-20 Âµ|45.58|38.20|45.54|36.20|32.96|33.45|34.08|32.90
T 				                        2-50 Âµ|68.38|69.16|70.20|53.89|51.93|55.31|58.07|59.59
U 				                    50-100 Âµ|1.381|0.378|1.447|0.631|0.592|0.819|1.214|1.165
R 				                  100-500 Âµ|1.838|0.366|2.327|1.270|1.503|1.587|1.587|2.480
A 				                500-1000 Âµ|0.076|0.024|0.120|0.073|0.110|0.114|0.117|1.775
CO3Ca 				(%)|-|-|-|-|-|-|-|-
pH 				H2O|5.l|5.2|5.6|6.7|7,0|7.5|7.6|7.7
pH 				ClK|5.0|5.0|5.5|6.3|6.9|7.4|7.5|7.4
Capacidad 				de intercambio   catiÃ³nico 				(m.e./100 g) = Valor 				T|-|-|-|-|-|-|-|-
% 				Na/T|-|-|-|-|-|-|-|-
Equivalente 				de humedad (%)|26.74|25.29|23.75|27.88|31.78|30.41|29.20|27.93
