er779c|||||
NÂº 				de registro|5272|5273|5274|5275|5276
Horizonte|A1|B21t|B22t|B3|Cca
Profundidad 				(cm)|04-17|25-35|55-72|80-95|105-120
Materia 				orgÃ¡nica (%)|3.95|1.99|1.22|0.75|0.68
N 				(%)|0.15|0.09|0.08|0.05|0.04
C/N|15|13|9|10|9
T 				                     < 2 Î¼|25.97|43.47|38.98|34.10|34.69
E 				                   2-20 Î¼|30.89|21.71|23.39|26.43|27.63
X 				                   2-50 Î¼|68.89|52.99|57.04|61.33|60.93
T 				               50-100 Î¼|4.83|3.32|3.76|4.28|4.08
U 				             100-250 Î¼|0.31|0.21|0.22|0.28|0.29
R 				           500-1000 Î¼|0.00|0.01|0.01|0.01|0.01
A|||||
|||||
CO3Ca 				(%)|6.3|6.9|7.2|7.2|8.3
pH 				H2O|5.3|5.4|5.6|5.8|7.1
pH 				ClK|-|-|-|-|-
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|88.61|91.15|95.34|97.17|99.65
d 				    Ca++|22.6|33.9|33.3|32.6|32.5
C 				 e|||||
a 				         Mg++|1.9|1.3|1.2|1.2|1.5
t 				   c|||||
i 				   a     K+|0.68|0.74|0.71|0.65|0.42
o 				  m|||||
n 				  b     Na+|0.34|0.34|0.36|0.34|0.26
e 				  i|||||
s 				  o     H+|3.1|3.0|2.1|-|-
|||||
Equivalente 				de humedad (%)|28.69|40.76|36.33|32.84|30.44
