er797c||||||
NÂº 				de registro|8524|8525|8526|8527|8528|8529
Horizonte|A1|B21t|B22t|B31ca|B32ca|C
Profundidad 				(cm)|04-10|17-40|45-60|65-90|98-110|130-149
Materia 				orgÃ¡nica (%)|4.70|2.22|1.51|0.73|0.51|0.36
N 				(%)|0.21|0.11|0.07|0.04|0.02|0.01
C/N|13|11|13|11|13|11
T 				                   < 2 Âµ|32.61|46.00|52.55|50.65|45.89|43.75
E 				                 2-20 Âµ|35.15|24.90|18.53|25.88|36.48|32.23
X 				                2-50 Âµ|64.09|51.77|42.13|47.18|51.41|54.13
T 				             50-100 Âµ|0.93|1.82|3.56|1.69|0.86|0.24
U 				           100-500 Âµ|2.15|0.40|1.75|0.47|1.83|1.84
R 				         500-1000 Âµ|0.22|0.01|0.01|0.01|0.01|0.04
A 				       1000-2000 				Âµ|-|-|-|-|-|-
||||||
CO3Ca 				(%)|0.0|0.0|0.52|2.97|0.39|0.0
pH 				H20|6.1|7.3|8.1|8.3|8.1|7.4
pH 				ClK|5.4|6.1|6.9|7.1|6.8|5.8
C.E.(mmhos/cm)|0.88|1.05|0.85|0.93|0.92|1.44
Capacidad 				de intercambio catiÃ³nico 				(m.e./100 g) = valor 				T|39.4|52.6|64.0|59.9|50.9|44.8
Equival. 				de humedad (%)|28.26|40.08|45.20|44.15|40.91|41.42
