n_de_registro|444|445|446|447|448
Horizonte|A1|B21cacs|B22cacs|B3cacs|Ccacs
Profundidad 			(cm)|00-14|17-29|36-49|62-77|130-150
Materia 			orgÃ¡nica (%)|2.6|2.4|1.4|0.3|0.2
N 			(%)|0.16|0.10|0.06|0.03|ND
C/N|10|14|14|7|ND
Horizonte|A1|B21cacs|B22cacs|B3cacs|Ccacs
Cloruros 			(me/l)|9.4|11.5|12.2|-|10.1
Sulfatos|58.4|67.0|69.2|-|47.0
Carbonatos|0|0|0|-|0
Bicarbonatos|3.2|2.1|1.7|-|1.6
TOTAL 			ANIONES|71.0|80.6|83.1|-|58.7
