a     |  e      |  btn    |  btm    |  bcm
0-18  |  18-25  |  25-37  |  37-50  |  50a+
1,96  |  0,89   |  0,81   |  0,38   |  0,19
1,14  |  0,52   |  0,47   |  0,22   |  0,11
0,14  |  0,09   |  0,08   |  0,06   |  ---
8,1   |  5,8    |  5,9    |  0,3    |  ---
10,8  |  7,7    |  18,3   |  17     |  16,5
37,8  |  38,1   |  32,7   |  32,9   |  33,4
42,1  |  41     |  40,4   |  41,2   |  39,9
9,1   |  11,8   |  8,1    |  9,4    |  9,9
0     |  0      |  0      |  0      |  0
0     |  0      |  0      |  0      |  0
0     |  0      |  0      |  0      |  0
0     |  0      |  0      |  1,2    |  0,7
27,5  |  8,7    |  26,9   |  25,6   |  24,8
5,4   |  6,4    |  7,6    |  8,5    |  8,8
5,5   |  6,5    |  7,8    |  9      |  9,2
---   |  ---    |  ---    |  ---    |  3,11
1     |  1,2    |  1,2    |  ---    |  ---
0,3   |  0,8    |  4,4    |  3,1    |  9,4
1,5   |  1      |  2      |  1,5    |  2,7
1,5   |  1      |  ---    |  ---    |  ---
8,1   |  7      |  13,9   |  ---    |  ---
9,9   |  8,1    |  13,9   |  13     |  13,3
3     |  9,9    |  31,7   |  23,8   |  70,7
81,8  |  86,4   |  100    |  100    |  100
