e     |  e2     |  btn    |  bcm
0-18  |  18-28  |  28-54  |  54a+
1,41  |  ---    |  ---    |  ---
0,82  |  ---    |  ---    |  ---
0,12  |  0,1    |  0,07   |  ---
6,8   |  ---    |  ---    |  ---
8,9   |  11,5   |  18,3   |  21,5
42,1  |  42,6   |  42     |  39,9
36,1  |  36,9   |  29,9   |  30,4
12,9  |  9,9    |  10,6   |  7,4
0,1   |  0      |  0      |  0
0,1   |  0      |  0      |  0
0     |  0      |  0      |  0
0     |  0      |  0,7    |  0,3
16,8  |  18,2   |  27,4   |  31,6
6     |  7,3    |  8,2    |  8,5
6,3   |  7,8    |  8,9    |  9,1
7,89  |  12,28  |  7,37   |  12,28
0,5   |  ---    |  ---    |  ---
2,3   |  7,1    |  ---    |  ---
2,3   |  2,8    |  ---    |  ---
1,2   |  ---    |  ---    |  ---
8,3   |  ---    |  ---    |  ---
9,4   |  9,9    |  18,6   |  25,5
24,4  |  71,7   |  ---    |  ---
88,3  |  100    |  100    |  100
8,6   |  12,8   |  ---    |  8
49    |  120    |  69     |  128
1     |  2,8    |  1,2    |  1,8
1,6   |  3,2    |  10,4   |  11,2
50,8  |  78,8   |  26,5   |  72,5
31,9  |  65,2   |  41,6   |  57,6
