a      |  e      |  btn    |  bc     |  ck
0-17   |  17-42  |  42-64  |  64-94  |  94a+
1,75   |  0,43   |  0,22   |  0,14   |  ---
1,02   |  0,25   |  0,13   |  0,08   |  ---
0,105  |  0,04   |  0,037  |  ---    |  ---
9,7    |  6,2    |  3,5    |  ---    |  ---
9,2    |  6      |  18,4   |  11,6   |  9,4
35,2   |  29,6   |  24,6   |  26,9   |  26,7
26     |  28,3   |  35,9   |  34,1   |  35,4
21,1   |  27,5   |  13,8   |  21     |  20,8
3      |  3,8    |  3      |  2,8    |  3,1
4,2    |  5,2    |  3,1    |  2,6    |  3
0      |  0      |  0      |  0      |  0
0      |  0      |  0,69   |  0,36   |  2,18
15,2   |  9,8    |  21,6   |  16,7   |  16,5
5,6    |  6,5    |  8,4    |  9      |  9,1
5,9    |  6,8    |  9      |  9,3    |  9,6
0,3    |  0,6    |  ---    |  ---    |  ---
0,2    |  0,4    |  5,8    |  5,9    |  6,1
2,4    |  1,6    |  2,7    |  2      |  1,7
1,8    |  0,6    |  ---    |  ---    |  ---
7,8    |  5,7    |  ---    |  ---    |  ---
9,8    |  6,7    |  14,9   |  12,9   |  10
2      |  6      |  38,9   |  45,7   |  61
79,6   |  85,1   |  100    |  100    |  100
