ap    |  a2     |  e      |  bt     |  bt2    |  bc
0-14  |  14-26  |  26-34  |  34-52  |  52-71  |  71a+
2,1   |  1,7    |  0,69   |  0,46   |  0,24   |  0,2
1,22  |  0,99   |  0,4    |  0,27   |  0,14   |  0,12
0,14  |  0,12   |  0,05   |  0,05   |  0,04   |  ---
8,7   |  8,2    |  8      |  5,4    |  3,5    |  ---
14,4  |  13,8   |  10     |  19,2   |  18,7   |  14,8
36,9  |  38,1   |  37     |  32,2   |  29,6   |  31,4
26,7  |  26,7   |  31,6   |  37,9   |  32     |  39,8
18,3  |  18,7   |  19,9   |  9,3    |  18,3   |  12,4
0,7   |  0,7    |  0,7    |  0,6    |  0,8    |  0,7
1,5   |  1,3    |  1,4    |  0,1    |  0,3    |  0,8
0     |  0      |  0      |  0      |  0      |  0
0     |  0      |  0,2    |  0,4    |  0      |  0
17,6  |  17,1   |  13,9   |  19,8   |  18,3   |  17,1
5,4   |  5,8    |  6      |  6,4    |  7      |  7,2
5,7   |  6      |  6,4    |  6,8    |  7,2    |  7,4
2,4   |  1,4    |  0,9    |  2,3    |  2,2    |  1,9
0,3   |  0,3    |  0,3    |  0,4    |  0,4    |  0,6
2     |  1,5    |  1,1    |  1,8    |  1,8    |  1,9
2,8   |  2      |  1,1    |  0,7    |  0,5    |  0,2
10,4  |  8,5    |  6,8    |  13,3   |  13,1   |  12,9
13,2  |  10,7   |  8      |  14,2   |  13,8   |  13,1
2,3   |  2,8    |  3,8    |  2,8    |  2,9    |  4,6
78,8  |  79,4   |  85     |  93,7   |  94,9   |  98,5
