ap     |  bw     |  bc     |  c
0-21   |  21-40  |  40-66  |  66a+
2,89   |  0,97   |  0,61   |  0,29
1,68   |  0,57   |  0,36   |  0,17
0,168  |  0,078  |  0,059  |  0,039
10     |  7,3    |  6,1    |  4,3
14,8   |  15,6   |  12,4   |  9,6
34     |  29,8   |  29,9   |  28,3
49,8   |  54     |  56,4   |  57,8
0,5    |  0,5    |  0,3    |  2,1
0,2    |  0      |  0      |  0
0      |  0      |  0      |  0
0      |  0      |  0      |  0
0      |  0      |  0      |  0
19     |  17,1   |  14,9   |  13,2
5      |  6,3    |  6,5    |  6,8
5,6    |  6,8    |  7,1    |  7,8
1,9    |  1,6    |  2,6    |  2,7
0,3    |  0,3    |  0,3    |  0,3
2,8    |  2,1    |  1,7    |  1,9
2,7    |  1,9    |  0,6    |  ---
12,2   |  11,2   |  11,6   |  12
14,8   |  13     |  12,1   |  11,8
2      |  2,3    |  2,5    |  2,5
82,4   |  86,2   |  95,9   |  100
