a     |  ac     |  c
0-25  |  25-53  |  53a+
1,6   |  ---    |  ---
0,9   |  ---    |  ---
0,06  |  ---    |  ---
15    |  ---    |  ---
16,2  |  15,6   |  8,6
37,3  |  34,5   |  35,8
42,9  |  46,8   |  49,6
3,3   |  1,6    |  3,6
0,1   |  0,2    |  0,2
0     |  0      |  0
0     |  0      |  0
0     |  0      |  0
16,2  |  15     |  11,2
5,3   |  6,1    |  6,7
5,6   |  6,1    |  7
0,8   |  0,7    |  0,7
0,5   |  0,3    |  0,4
2,1   |  1,6    |  1,1
1,3   |  1      |  0,4
11,5  |  11,6   |  10,9
12,8  |  12,6   |  11,3
3,9   |  2,4    |  3,5
89,8  |  92,1   |  96,5
