a     |  e      |  btn    |  bc     |  c
0-23  |  23-34  |  34-52  |  52-75  |  75a+
2,41  |  0,69   |  0,52   |  0,19   |  ---
1,4   |  0,4    |  0,3    |  0,11   |  ---
0,17  |  0,06   |  0,05   |  ---    |  ---
8,2   |  6,6    |  6      |  ---    |  ---
11,7  |  6,2    |  18,9   |  11,5   |  9,2
30,7  |  28,5   |  23,6   |  22,6   |  22,7
39,3  |  50,7   |  38,6   |  51,5   |  51,6
16,3  |  13,6   |  17,4   |  12,9   |  14,9
0,05  |  0      |  0      |  0,05   |  0,05
0,05  |  0      |  0      |  0,05   |  0,05
0     |  0      |  0      |  0      |  0
0     |  0      |  0      |  0      |  0
18,5  |  13,3   |  22,6   |  19,6   |  14,7
5,7   |  7,1    |  7,2    |  7,4    |  7,4
5,8   |  7,2    |  7,5    |  7,7    |  7,9
1,2   |  2,2    |  1,3    |  1,7    |  0,7
0,2   |  0,7    |  2,4    |  2,3    |  3,8
0,9   |  1,5    |  0,7    |  1,5    |  1,5
3,1   |  0,8    |  ---    |  ---    |  ---
8     |  7,7    |  11,8   |  11,4   |  9,2
11,3  |  8,6    |  11,8   |  11,4   |  9,2
1,8   |  8,1    |  20,3   |  20,2   |  41,3
70,8  |  89,5   |  100    |  100    |  100
