a      |  e      |  btn    |  bc     |  ck
0-19   |  19-38  |  38-61  |  61-87  |  87a+
1,96   |  0,53   |  0,53   |  0,24   |  0,21
1,14   |  0,31   |  0,31   |  0,14   |  0,12
0,111  |  0,038  |  0,038  |  0,024  |  0,019
10,3   |  8,1    |  8,1    |  5,8    |  6,3
7,2    |  3,4    |  14,6   |  7,4    |  6,6
37,6   |  33,3   |  32,8   |  31,5   |  30,9
52,6   |  60,5   |  47     |  54,2   |  54
1,2    |  1      |  4      |  5,6    |  7,9
0      |  0      |  0      |  0      |  0
0      |  0      |  0      |  0      |  0
0      |  0      |  0      |  0      |  0
0      |  0      |  0      |  0,325  |  3,14
14,6   |  9,8    |  20,2   |  14,3   |  12,5
5,1    |  6,5    |  7,6    |  8,2    |  8,9
5,6    |  6,7    |  8,4    |  8,7    |  9,2
1,9    |  2,4    |  2,5    |  ---    |  ---
0,3    |  0,7    |  6,4    |  9      |  9
1,5    |  1      |  2,3    |  2,2    |  1,9
3,2    |  1,3    |  ---    |  ---    |  ---
10,8   |  9,4    |  20,6   |  ---    |  ---
14,2   |  10,4   |  20,2   |  18,4   |  11,5
2,1    |  7,4    |  31,7   |  49,9   |  78,3
76,1   |  90,4   |  100    |  100    |  100
