a     |  btn    |  bc     |  ck
0-24  |  24-55  |  55-91  |  91a+
2,51  |  ---    |  ---    |  ---
1,46  |  ---    |  ---    |  ---
0,15  |  0,04   |  ---    |  ---
9,7   |  ---    |  ---    |  ---
10,2  |  20,6   |  ---    |  12,9
39,6  |  31     |  ---    |  25,8
39,2  |  36,4   |  ---    |  43,9
11,7  |  12,4   |  ---    |  16,9
0,3   |  0,1    |  ---    |  0,5
0,3   |  0      |  ---    |  0,5
0     |  0      |  ---    |  0
0     |  2,3    |  0,6    |  3,7
17,7  |  26,6   |  18,1   |  15,9
5,1   |  7,4    |  8      |  8,5
5,3   |  7,9    |  8,8    |  9,3
5,4   |  15,34  |  18,02  |  12,01
1,2   |  ---    |  ---    |  ---
0,3   |  ---    |  ---    |  ---
1,9   |  ---    |  ---    |  ---
2,7   |  ---    |  ---    |  ---
10,5  |  ---    |  ---    |  ---
13,2  |  20,1   |  ---    |  13
2,3   |  ---    |  ---    |  ---
79,5  |  100    |  100    |  100
14,4  |  27,2   |  8      |  5,4
12    |  112,8  |  188    |  122
6     |  1,4    |  1,6    |  1
1,6   |  9,6    |  4,8    |  8
10,9  |  70,7   |  105,2  |  68,2
43,2  |  89     |  100    |  59,2
