a     |  ac     |  c       |  ck
0-27  |  27-60  |  60-100  |  100a+
2,2   |  ---    |  ---     |  ---
1,3   |  ---    |  ---     |  ---
0,14  |  ---    |  ---     |  ---
9,3   |  ---    |  ---     |  ---
7,8   |  3,9    |  3,1     |  10,1
34,8  |  42,9   |  35,1    |  30,5
28    |  32,8   |  49,2    |  47,5
25,1  |  19     |  6,8     |  10,1
1,3   |  0,6    |  3       |  0
0     |  0      |  0       |  0
0     |  0      |  0       |  0
0     |  0      |  0       |  3,6
16,7  |  12,8   |  11,7    |  12,2
5,7   |  6,9    |  6,8     |  7,8
6,3   |  7      |  7       |  8,8
0,8   |  1,5    |  1,5     |  ---
0,3   |  0,2    |  0,3     |  0,9
1,8   |  1,9    |  1,2     |  1,4
1,6   |  0,7    |  0,3     |  ---
11,5  |  10,7   |  10,3    |  ---
13,1  |  11,4   |  10,6    |  8
2,3   |  1,8    |  2,8     |  11,3
87,8  |  93,9   |  97,2    |  100
