--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 2
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap|a|ac|c|ck
HORIZONTE->Profundidad de la muestra (cm): 0-13|13-23|23-43|43-74|74 a +
HORIZONTE->Materia Orgánica (%): 2.72|2.04|1.02||
HORIZONTE->Carbono Orgánico (%): 1.6|1.2|0.6||
HORIZONTE->Nitrógeno total (%): 0.11|0.09|0.07||
HORIZONTE->Relación C/N: 14|13|9||
HORIZONTE->Arcilla, <2 µ (%): 13.7|14.8|18.6|15.6|14.1
HORIZONTE->Limo, 2-50 µ (%): 39.1|37.9|40.9|42.3|43.0
HORIZONTE->Arena muy fina, 50-100 µ (%): 32.4|33.5|31.4|34.7|36.3
HORIZONTE->Arena fina, 100-250 µ (%): 0.5|1.5|0.5|0.2|0.4
HORIZONTE->Arena media, 250-500 µ (%): 4.0|3.4|1.9|1.6|1.4
HORIZONTE->Arena gruesa, 500-1000 µ (%): 6.9|5.8|3.7|4.1|2.5
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 2.0|1.5|2.1|2.3|1.5
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|0|4.9
HORIZONTE->Equivalente de humedad (%): 13|16.7|19|16.6|15.9
HORIZONTE->pH en pasta: 6.0|6.2|6.6|6.7|7.8
HORIZONTE->pH en agua 1:2,5: 6.2|6.4|6.9|6.9|8.1
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 8.2|9.5|12.5|12.2| 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 1.2|1.3|1.5|0.7|
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.1|0.1|0.1|0.1|0.1
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 0.9|0.9|0.9|0.8|0.6
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 1.6|1.1|0.7|0.7|
HORIZONTE->Suma de bases, me/100 gr (S): 10.4|11.8|15.0|13.8|
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 12.1|13.2|15.9|14.5|10.4
HORIZONTE->Saturación con bases, % (S/T): 86|89|94|95|
