--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 2
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a|2bt1|2bt2|2bc
HORIZONTE->Profundidad de la muestra (cm): 0-18|17-43|43-70|70 a +
HORIZONTE->Materia Orgánica (%): 3.6|2.0|2.3|1.2
HORIZONTE->Carbono Orgánico (%): 2.1|1.2|1.3|0.7
HORIZONTE->Nitrógeno total (%): 0.24|0.12|0.12|
HORIZONTE->Relación C/N: 8.6|9.5|10.9|
HORIZONTE->Arcilla, <2 µ (%): 27.9|29.4|33.2|24.5
HORIZONTE->Limo, 2-50 µ (%): 57.1|47.3|51.3|35.3
HORIZONTE->Arena muy fina, 50-100 µ (%): 5.5|5.2|6.7|5.8
HORIZONTE->Arena fina, 100-250 µ (%): 1.4|2.3|1.8|3.1
HORIZONTE->Arena media, 250-500 µ (%): 0.9|5.8|1.7|8.3
HORIZONTE->Arena gruesa, 500-1000 µ (%): 0.5|8.3|3.0|13.9
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0.3|5.1|1.6|8.7
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|0
HORIZONTE->Equivalente de humedad (%): 32.3|23.8|27.0|18.8
HORIZONTE->pH en pasta: |||
HORIZONTE->pH en agua 1:2,5: 6.9|6.2|6.3|6.5
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 9.8|10.1|14.2|9.7
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 1.9|1.5|2.5|1.9
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.2|0.2|0.2|0.2
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 0.7|0.6|0.8|0.6
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 1.0|2.3|2.2|1.3
HORIZONTE->Suma de bases, me/100 gr (S): 12.7|12.3|17.7|12.4
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 13.7|16.6|19.9|13.7
HORIZONTE->Saturación con bases, % (S/T): 92.4|84.4|89.1|90.6
