ap    |  a12     |  b2     |  b3     |  c1      |  c2ca
0-14  |  14--27  |  27-56  |  56-85  |  85-110  |  110a+
2.93  |  2.93    |  2.41   |  1.21   |  -       |
1.7   |  1.7     |  1.4    |  0.7    |  -       |
0.16  |  0.16    |  0.14   |  -      |  -       |
10.6  |  10.6    |  10     |  -      |  -       |
35.2  |  36.5    |  34.6   |  22.1   |  16.3    |  15.8
54.8  |  53.3    |  49.5   |  51.8   |  51.8    |  53.8
10.0  |  8.1     |  14.9   |  29.6   |  29.6    |  30.4
0.8   |  1.9     |  0.4    |  1.4    |  1.4     |
-     |  -       |  0.2    |  -      |  -       |
-     |  -       |  -      |  -      |  -       |
-     |  -       |  -      |  -      |  -       |
0     |  0       |  0      |  0      |  0       |  3.3
35.2  |  36.0    |  31.5   |  19.2   |  19.2    |  19.0
6.7   |  6.9     |  6.3    |  6.5    |  6.5     |  7.8
7.0   |  7.2     |  6.6    |  6.9    |  6.9     |  8.4
21.0  |  22.0    |  19.0   |  11.8   |  11.8    |
1.8   |  1.3     |  1.0    |  0.8    |  0.8     |
0.2   |  0.2     |  0.1    |  0.1    |  0.1     |  0.1
2.6   |  2.8     |  2.4    |  1.8    |  1.8     |  1.8
0.2   |  0.1     |  1.3    |  0.7    |  0.7     |
-     |  -       |  -      |  -      |  -       |
24.6  |  26.3    |  22.5   |  14.5   |  14.5    |
24.8  |  26.5    |  23.9   |  15.2   |  15.2    |  13.0
99    |  99      |  94     |  95     |  95      |
