a     |  r
0-10  |  10a+
3.8   |
2.2   |
0.21  |
10.5  |
6.7   |
37.5  |
8.6   |
11.1  |
10.0  |
13.8  |
10.8  |
0     |
24.4  |
6.5   |
6.8   |
11.6  |
1.2   |
0.4   |
1.1   |
0.8   |
-     |
14.3  |
15.1  |
94.7  |
