dss_las_penas_sur.psv ->> ID..........................: 609
dss_las_penas_sur.psv ->> CLASIFICACION...............: Haplustol fluvéntico
dss_las_penas_sur.psv ->> SERIE.......................: LAS PEÑAS SUR (PñsSr)
dss_las_penas_sur.psv ->> UBICACION...................: 12 Km al WNW de la localidad homónima, departamento Río Cuarto
dss_las_penas_sur.psv ->> PROVINCIA...................: CORDOBA
dss_las_penas_sur.psv ->> LATITUD.....................: S322900
dss_las_penas_sur.psv ->> LONGITUD....................: O641300
dss_las_penas_sur.psv ->> ALTITUD.....................: 515
dss_las_penas_sur.psv ->> PENDIENTE...................: FALTA!
dss_las_penas_sur.psv ->> DRENAJE.....................: FALTA!
dss_las_penas_sur.psv ->> ESCURRIMIENTO...............: FALTA!
dss_las_penas_sur.psv ->> PERMEABILIDAD...............: FALTA!
dss_las_penas_sur.psv ->> TIPO DE SUELO...............: FRANCA FINA, MIXTA TÉRMICA
dss_las_penas_sur.psv ->> COLOR ......................: PARDO OSCURO
dss_las_penas_sur.psv ->> HORIZONTE->NOMBRE(S)........: i | ii | iii | iv | v | vi
dss_las_penas_sur.psv ->> HORIZONTE->PROFUNDIDADES(CM): 0-32 | 32-55 | 55-82 | 82-104 | 104-124 | 124a+
dss_las_penas_sur.psv ->> HORIZONTE->MATERIA ORGÁN.(%): 1.9 | 1.6 | 2.2 | - | - | 
dss_las_penas_sur.psv ->> HORIZONTE->CARBONO ORGÁN.(%): 1.1 | 1.1 | - | - | - | 
dss_las_penas_sur.psv ->> HORIZONTE->NITRÓGENO TOT.(%): 0.11 | - | - | - | - | 
dss_las_penas_sur.psv ->> HORIZONTE->RELACIÓN C/N.....: 10.0 | - | - | - | - | 
dss_las_penas_sur.psv ->> HORIZONTE->ARCILLA 2 (%)....: 18.9 | 22.6 | 22.4 | 14.2 | 17.4 | 12.5
dss_las_penas_sur.psv ->> HORIZONTE->LIMO 2-50 (%)....: 64.9 | 59.4 | 49.9 | 46.0 | 47.7 | 43.8
dss_las_penas_sur.psv ->> HORIZONTE->AMF 50-100 (%)...: 13.5 | 16.1 | 12.0 | 22.5 | 20.4 | 26.5
dss_las_penas_sur.psv ->> HORIZONTE->AF 100-250 (%)...: 1.9 | 1.7 | 7.4 | 9.2 | 8.8 | 9.2
dss_las_penas_sur.psv ->> HORIZONTE->AM 250-500 (%)...: 0.3 | 0.5 | 1.6 | 1.7 | 1.9 | 2.2
dss_las_penas_sur.psv ->> HORIZONTE->AG 500-1000 (%)..: 0.5 | 0.9 | 3.2 | 3.8 | 3.9 | 4.2
dss_las_penas_sur.psv ->> HORIZONTE->AMG 1-2 mm (%)...: 0.1 | 0.3 | 0.9 | 1.8 | 1.8 | 2.2
dss_las_penas_sur.psv ->> HORIZONTE->CaCO 3 (%).......: 0 | 0 | 0 | 0 | 0 | 1.4
dss_las_penas_sur.psv ->> HORIZONTE->EQUIV. HUMEDAD(%): 24.0 | 24.1 | 23.0 | 16.8 | 17.1 | 15.1
dss_las_penas_sur.psv ->> HORIZONTE->PH PASTA.........: 6.2 | 6.3 | 6.4 | 6.7 | 6.7 | 7.9
dss_las_penas_sur.psv ->> HORIZONTE->PH H2O 1:2,5.....: 6.6 | 6.7 | 6.9 | 7.1 | 7.1 | 8.0
dss_las_penas_sur.psv ->> HORIZONTE->CI ME/100G-Ca ++.: 10.7 | 12.5 | 11.9 | 12.0 | 11.7 | 
dss_las_penas_sur.psv ->> HORIZONTE->CI ME/100G-Mg ++.: 1.2 | 1.1 | 1.0 | 1.1 | 1.0 | 
dss_las_penas_sur.psv ->> HORIZONTE->CI ME/100G-Na +..: 1.1 | 1.4 | 1.8 | 1.1 | 1.3 | 0.3
dss_las_penas_sur.psv ->> HORIZONTE->CI ME/100G-K +...: 1.0 | 1.0 | 0.8 | 1.1 | 1.4 | 1.0
dss_las_penas_sur.psv ->> HORIZONTE->CI ME/100G-H ++..: 1.0 | 0.7 | 0.5 | 0.4 | 0.3 | 
dss_las_penas_sur.psv ->> HORIZONTE->Na+ % DEL VALOR T: - | - | - | - | - | 
dss_las_penas_sur.psv ->> HORIZONTE->SUM.B. ME/100G(S): 14.0 | 16.0 | 15.5 | 15.3 | 15.4 | 
dss_las_penas_sur.psv ->> HORIZONTE->CIC ME/100G(T)...: 15.0 | 16.7 | 15.7 | 15.7 | 15.7 | 15.0
dss_las_penas_sur.psv ->> HORIZONTE->SAT.B % (S/T)....: 93.3 | 95.8 | 97.5 | 97.5 | 98.1 | 100
