ap    |  a12    |  ac     |  c1     |  c2ca
0-13  |  13-23  |  23-43  |  43-74  |  74a+
2.72  |  2.04   |  1.02   |  -      |
1.6   |  1.2    |  0.6    |  -      |
0.11  |  0.09   |  0.07   |  -      |
14    |  13     |  9      |  -      |
13.7  |  14.8   |  18.6   |  15.6   |  14.1
39.1  |  37.9   |  40.9   |  42.3   |  43.0
32.4  |  33.5   |  31.4   |  34.7   |  36.3
0.5   |  1.5    |  0.5    |  0.2    |  0.4
4.0   |  3.4    |  1.9    |  1.6    |  1.4
6.9   |  5.8    |  3.7    |  4.1    |  2.5
2.0   |  1.5    |  2.1    |  2.3    |  1.5
0     |  0      |  0      |  0      |  4.9
13    |  16.7   |  19     |  16.6   |  15.9
6.0   |  6.2    |  6.6    |  6.7    |  7.8
6.2   |  6.4    |  6.9    |  6.9    |  8.1
8.2   |  9.5    |  12.5   |  12.2   |
1.2   |  1.3    |  1.5    |  0.7    |
0.1   |  0.1    |  0.1    |  0.1    |  0.1
0.9   |  0.9    |  0.9    |  0.8    |  0.6
1.6   |  1.1    |  0.7    |  0.7    |
-     |  -      |  -      |  -      |
10.4  |  11.8   |  15.0   |  13.8   |
12.1  |  13.2   |  15.9   |  14.5   |  10.4
86    |  89     |  94     |  95     |
