a     |  ac     |  iia    |  iiac    |  iic      |  iicca
0-18  |  18-60  |  60-83  |  83-110  |  110-168  |  168a+
4.3   |  1.4    |  -      |  -       |  -        |
2.5   |  0.8    |  -      |  -       |  -        |
0.33  |  -      |  -      |  -       |  -        |
7.6   |  -      |  -      |  -       |  -        |
18.6  |  17.9   |  22.4   |  16.0    |  11.9     |  11.3
60.9  |  59.8   |  60.0   |  63.5    |  62.4     |  64.4
12.2  |  21.5   |  11.9   |  18.8    |  19.1     |  21.0
3.6   |  2.0    |  3.2    |  2.1     |  4.4      |  3.3
0.8   |  0.1    |  0.8    |  0.4     |  0.5      |  0.3
2.3   |  0.2    |  1.7    |  0.4     |  0.7      |  0.4
0.2   |  0      |  0.4    |  0.1     |  0.1      |  0.2
0     |  0      |  0      |  0       |  0        |  3.5
19.4  |  23.1   |  17.4   |  20.5    |  18.9     |  18.0
7.7   |  7.9    |  6.8    |  7.2     |  7.2      |  7.9
11.1  |  17.0   |  18.5   |  10.8    |  10.8     |
1.2   |  1.1    |  1.8    |  1.7     |  1.7      |
0.7   |  0.3    |  0.3    |  0.3     |  0.3      |  0.4
2.4   |  1.7    |  1.8    |  1.3     |  1.3      |  1.4
-     |  -      |  0.4    |  -       |  -        |
-     |  -      |  -      |  -       |  -        |
15.4  |  20.1   |  22.4   |  14.1    |  14.1     |
15.4  |  20.1   |  22.8   |  14.1    |  14.1     |  14.0
100   |  100    |  98.8   |  100     |  100      |  100
