i     |  ii     |  iii    |  iv      |  v        |  vi
0-32  |  32-55  |  55-82  |  82-104  |  104-124  |  124a+
1.9   |  1.6    |  2.2    |  -       |  -        |
1.1   |  1.1    |  -      |  -       |  -        |
0.11  |  -      |  -      |  -       |  -        |
10.0  |  -      |  -      |  -       |  -        |
18.9  |  22.6   |  22.4   |  14.2    |  17.4     |  12.5
64.9  |  59.4   |  49.9   |  46.0    |  47.7     |  43.8
13.5  |  16.1   |  12.0   |  22.5    |  20.4     |  26.5
1.9   |  1.7    |  7.4    |  9.2     |  8.8      |  9.2
0.3   |  0.5    |  1.6    |  1.7     |  1.9      |  2.2
0.5   |  0.9    |  3.2    |  3.8     |  3.9      |  4.2
0.1   |  0.3    |  0.9    |  1.8     |  1.8      |  2.2
0     |  0      |  0      |  0       |  0        |  1.4
24.0  |  24.1   |  23.0   |  16.8    |  17.1     |  15.1
6.2   |  6.3    |  6.4    |  6.7     |  6.7      |  7.9
6.6   |  6.7    |  6.9    |  7.1     |  7.1      |  8.0
10.7  |  12.5   |  11.9   |  12.0    |  11.7     |
1.2   |  1.1    |  1.0    |  1.1     |  1.0      |
1.1   |  1.4    |  1.8    |  1.1     |  1.3      |  0.3
1.0   |  1.0    |  0.8    |  1.1     |  1.4      |  1.0
1.0   |  0.7    |  0.5    |  0.4     |  0.3      |
-     |  -      |  -      |  -       |  -        |
14.0  |  16.0   |  15.5   |  15.3    |  15.4     |
15.0  |  16.7   |  15.7   |  15.7    |  15.7     |  15.0
93.3  |  95.8   |  97.5   |  97.5    |  98.1     |  100
