a1    |  b      |  c1     |  c2ca
0-30  |  30-52  |  52-92  |  92a+
3.3   |  1.6    |  -      |
3.1   |  0.9    |  -      |
0.25  |  -      |  -      |
12.4  |  -      |  -      |
28.3  |  21.1   |  17.4   |  15.4
65.3  |  71.9   |  70.7   |  70.8
4.8   |  4.9    |  6.9    |  6.8
2.7   |  2.8    |  3.6    |  4.7
0.7   |  0.5    |  0.7    |  0.4
1.1   |  1.1    |  1.4    |  1.0
0.2   |  0.2    |  0.4    |  0.2
0     |  0      |  0      |  4.9
29.9  |  28.3   |  26.7   |  23.9
6.1   |  7.1    |  7.3    |  8.0
6.4   |  7.4    |  7.7    |  8.4
12.7  |  14.4   |  14.0   |
1.1   |  1.7    |  1.3    |
1.3   |  0.8    |  1.5    |  0.3
1.3   |  0.5    |  0.6    |  1.7
1.4   |  0.2    |  -      |
-     |  -      |  -      |
16.4  |  17.4   |  17.4   |
17.8  |  17.6   |  17.4   |  13.7
92.1  |  98.9   |  100    |  100
