i     |  r
0-18  |  18a+
14.8  |
8.6   |
0.76  |
11.3  |
8.5   |
29.3  |
14.9  |
17.6  |
12.7  |
10.4  |
4.5   |
0     |
29.7  |
6.5   |
6.9   |
12.3  |
0.9   |
0.4   |
0.8   |
0.5   |
-     |
14.4  |
14.9  |
96.6  |
