--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap|ab|bt|bcz|ck
HORIZONTE->Profundidad de la muestra (cm): 0-21|21-32|32-65|65-80|80 a +
HORIZONTE->Materia Orgánica (%): ||||
HORIZONTE->Carbono Orgánico (%): 1.46|1.36|0.44|0.27|0.25
HORIZONTE->Nitrógeno total (%): 0.15|0.13|0.06||
HORIZONTE->Relación C/N: 9.7|10.4|7.3||
HORIZONTE->Arcilla, <2 u (%): 23.0|27.5|33.3|28.1|22.7
HORIZONTE->Limo, 2-50 u (%): 68.4|66.4|59.4|62.8|67.2
HORIZONTE->Arena muy fina, 50-100 u (%): 8.5|7.6|7.8|9.0|7.9
HORIZONTE->Arena fina, 100-250 u (%): 0.6|0.3|0.5|0.8|0.5
HORIZONTE->Arena media, 250-500 u (%): 0.1|||0.1|
HORIZONTE->Arena gruesa, 500-1000 u (%): 0.1|||0.1|
HORIZONTE->Arena muy gruesa, 1-2 mm (%): ||||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|0|2.80
HORIZONTE->Equivalente de humedad (%): 24.8|25.0|26.1|25.7|25.0
HORIZONTE->pH en pasta: 5.3|5.4|6.1|6.6|8.0
HORIZONTE->pH en agua 1:2,5: 5.6|5.6|6.5|7.0|8.4
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 8.5|10.5||| 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 1.5|2.1|||
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.2|0.3|||
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 2.8|1.7|||
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 2.7|2.5|0.9|0.3|
HORIZONTE->Na+, % del valor T: ||||
HORIZONTE->Conductividad, mmhos/cm: ||9.12|25.5|25.5
HORIZONTE->Suma de bases, me/100 gr (S): 13.0|14.6|||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 16.3|17.5|20.6|20.0|16.9
HORIZONTE->Saturación con bases, % (S/T): |79|83||
HORIZONTE->Composición extracto de saturación, me/1-Ca++: ||27.2|30.4|28.7
HORIZONTE->Composición extracto de saturación, me/1-Mg++: ||10.7|8.4|9.6
HORIZONTE->Composición extracto de saturación, me/1-Na+: ||50.0|214.4|216.4
HORIZONTE->Composición extracto de saturación, me/1-K+: ||2.0|4.8|4.2
HORIZONTE->Composición extracto de saturación, me/1-HCO3-: ||1.6|4.8|3.2
HORIZONTE->Composición extracto de saturación, me/1-SO4=: ||11.1|162.8|176.5
HORIZONTE->Composición extracto de saturación, me/1-Cl-: ||80.0|91.2|75.2
