--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap|a|ac|c
HORIZONTE->Profundidad de la muestra (cm): 0-20|20-29|29-62|62-150
HORIZONTE->Materia Orgánica (%): 2.45|2.42|0.87|
HORIZONTE->Carbono Orgánico (%): 1.43|1.41|0.51|
HORIZONTE->Nitrógeno total (%): 0.12|0.11|0.06|0.04
HORIZONTE->Relación C/N: 11.81|11.8|7.39|4.77
HORIZONTE->Arcilla, <2 u (%): 18.4|21.2|16.2|14.7
HORIZONTE->Limo, 2-50 u (%): 49.0|49.1|44.8|44.6
HORIZONTE->Arena muy fina, 50-100 u (%): 19.3|16.9|22.7|23.8
HORIZONTE->Arena fina, 100-250 u (%): 12.1|10.2|15.0|13.4
HORIZONTE->Arena media, 250-500 u (%): 1.2|2.6|1.3|3.5
HORIZONTE->Arena gruesa, 500-1000 u (%): |||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): |||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|0
HORIZONTE->Equivalente de humedad (%): 24.2|25.2|19.7|18.7
HORIZONTE->pH en pasta: 5.8|6.2|6.6|7.0
HORIZONTE->pH en agua 1:2,5: 6.6|7.0|7.4|7.6
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 10.1|12.0|8.6|8.0 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 2.9|2.8|4.1|4.8
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.5|0.6|0.3|0.4
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 2.6|1.8|1.4|1.0
HORIZONTE->Cationes de intercambio, me/100 gr-H+: |||
HORIZONTE->Na+, % del valor T: |||
HORIZONTE->Suma de bases, me/100 gr (S): 16.1|17.2|14.4|14.2
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 19.5|19.0|15.3|13.7
HORIZONTE->Saturación con bases, % (S/T): 82|90|94|100
