--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a|e|bt|bc|ck
HORIZONTE->Profundidad de la muestra (cm): 0-21|21-26|26-40|40-57|57 a +
HORIZONTE->Materia Orgánica (%): 2.24|1.03|0.51|0.34|
HORIZONTE->Carbono Orgánico (%): 1.3|0.6|0.3|0.2|
HORIZONTE->Nitrógeno total (%): 0.16|0.09|0.08||
HORIZONTE->Relación C/N: 8.1|6.7|3.7||
HORIZONTE->Arcilla, <2 u (%): 11.8|11.0|14.4|11.0|7.9
HORIZONTE->Limo, 2-50 u (%): 67.6|66.7|66.7|65.6|62.5
HORIZONTE->Arena muy fina, 50-100 u (%): 13.5|15.2|12.4|17.7|23.3
HORIZONTE->Arena fina, 100-250 u (%): 4.6|4.6|4.1|4.6|4.3
HORIZONTE->Arena media, 250-500 u (%): 0.3|0.6|0.3|0.3|0.4
HORIZONTE->Arena gruesa, 500-1000 u (%): 0.3|0.4|0.2|0.2|0.2
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0.1||||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|1.8|3.9
HORIZONTE->Equivalente de humedad (%): 23.6|20.2|26.5|19.5|17.7
HORIZONTE->pH en pasta: 5.6|6.3|7.1|7.6|8.1
HORIZONTE->pH en agua 1:2,5: 5.8|6.5|7.2|8.0|8.5
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 7.9|7.4|13.8|| 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 1.5|1.3|2.4||
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.2|0.1|0.1|0.3|0.5
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 2.8|2.6|3.2|2.9|3.3
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 1.9|1.0|0.4||
HORIZONTE->Na+, % del valor T: ||||
HORIZONTE->Suma de bases, me/100 gr (S): 12.4|11.4|19.5||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 14.5|12.6|20.3|19.7|14.3
HORIZONTE->Saturación con bases, % (S/T): 86|90|90||
