--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap|a|bw1|bw2|bcm
HORIZONTE->Profundidad de la muestra (cm): 0-16|16-24|24-46|46-84|84 a +
HORIZONTE->Materia Orgánica (%): 3.73|3.69|1.30|0.17|0.06
HORIZONTE->Carbono Orgánico (%): 2.75|2.15|0.76|0.10|0.04
HORIZONTE->Nitrógeno total (%): 0.23|0.20|0.11|0.07|
HORIZONTE->Relación C/N: 9.3|10.5|6.6|1.3|
HORIZONTE->Arcilla, <2 u (%): 42.4|43.5|41.8|40.2|34.5
HORIZONTE->Limo, 2-50 u (%): 55.0|54.2|54.0|53.4|58.9
HORIZONTE->Arena muy fina, 50-100 u (%): 2.1|2.5|4.9|6.8|6.8
HORIZONTE->Arena fina, 100-250 u (%): 0.4|0.2|0.2|0.4|0.5
HORIZONTE->Arena media, 250-500 u (%): ||||
HORIZONTE->Arena gruesa, 500-1000 u (%): ||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): ||||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|0|0
HORIZONTE->Equivalente de humedad (%): 35.1|38.6|30.9|29.7|29.0
HORIZONTE->pH en pasta: 4.9|4.9|5.6|5.9|5.9
HORIZONTE->pH en agua 1:2,5: 5.3|5.3|5.8|6.3|6.4
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 14.3|13.8|13.9|14.4|14.0
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 3.1|2.6|2.3|1.9|1.9
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.2|0.2|0.07|0.07|0.2
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 2.6|2.6|2.1|2.1|2.1
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 4.0|4.3|2.4|1.6|1.4
HORIZONTE->Na+, % del valor T: ||||
HORIZONTE->Suma de bases, me/100 gr (S): 20.2|19.4|18.4|18.4|18.3
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 24.2|23.9|21.0|20.2|19.7
HORIZONTE->Saturación con bases, % (S/T): 83|81|88|91|93
