--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap|bw|bc|ck
HORIZONTE->Profundidad de la muestra (cm): 0-22|22-47|47-80|80 a +
HORIZONTE->Materia Orgánica (%): 2.90|1.60|0.53|0.32
HORIZONTE->Carbono Orgánico (%): 1.69|0.92|0.31|0.19
HORIZONTE->Nitrógeno total (%): 0.14|0.11||
HORIZONTE->Relación C/N: 11.5|8.1||
HORIZONTE->Arcilla, <2 u (%): 25.4|26.4|18.4|13.4
HORIZONTE->Limo, 2-50 u (%): 68.4|63.5|69.3|68.1
HORIZONTE->Arena muy fina, 50-100 u (%): 7.3|9.5|12.1|15.1
HORIZONTE->Arena fina, 100-250 u (%): 0.5|0.7|0.8|0.9
HORIZONTE->Arena media, 250-500 u (%): ||0.05|0.05
HORIZONTE->Arena gruesa, 500-1000 u (%): ||0.1|0.1
HORIZONTE->Arena muy gruesa, 1-2 mm (%): |||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|4.63
HORIZONTE->Equivalente de humedad (%): 30.7|26.5|23.4|22.4
HORIZONTE->pH en pasta: 5.9|6|6.4|8
HORIZONTE->pH en agua 1:2,5: 6.1|6.5|6.7|8.3
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 12.4|12.4|11.2| 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 2.3|1.3|1.3|
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.08|0.09|0.08|0.3
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 2.7|2.4|2.46|0.8
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 2.0|1.4|0.9|
HORIZONTE->Na+, % del valor T: |||
HORIZONTE->Suma de bases, me/100 gr (S): 17.5|16.1|15.04|
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 19.3|17.6|16.3|15.7
HORIZONTE->Saturación con bases, % (S/T): 91|91|92|
