--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a|bw|bc|c1
HORIZONTE->Profundidad de la muestra (cm): 0-20|20-51|51-78|78-110
HORIZONTE->Materia Orgánica (%): 3.06|1.23|0.68|
HORIZONTE->Carbono Orgánico (%): 0.78|0.72|0.34|
HORIZONTE->Nitrógeno total (%): 0.17|0.09||
HORIZONTE->Relación C/N: 10.5|8.0||
HORIZONTE->Arcilla, <2 u (%): 30.5|35.3|30.5|25.7
HORIZONTE->Limo, 2-50 u (%): 65.2|62.0|65.6|69.5
HORIZONTE->Arena muy fina, 50-100 u (%): 3.1|3.3|3.8|4.7
HORIZONTE->Arena fina, 100-250 u (%): 0.7|0.5|0.5|1.0
HORIZONTE->Arena media, 250-500 u (%): 0.1||0.1|0.1
HORIZONTE->Arena gruesa, 500-1000 u (%): 0.2||0.1|0.2
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0.1|||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|0
HORIZONTE->Equivalente de humedad (%): 30.5|32.4|29.8|23.3
HORIZONTE->pH en pasta: 5.8|6.4|6.6|6.7
HORIZONTE->pH en agua 1:2,5: 6.0|6.5|6.7|6.8
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 15.6|15.4|14.1|14.1 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 1.0|1.4|1.9|1.6
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.2|0.2|0.2|0.1
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 0.6|2.3|2.2|2.4
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 2.3|1.5|1.0|0.9
HORIZONTE->Na+, % del valor T: |||
HORIZONTE->Suma de bases, me/100 gr (S): 19.4|19.3|18.4|18.2
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 21.5|20.9|19.4|19.0
HORIZONTE->Saturación con bases, % (S/T): 90|92|95|96
