--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a1|bw|bc|c|ck
HORIZONTE->Profundidad de la muestra (cm): 0-16|16-43|43-72|72-86|86 a +
HORIZONTE->Materia Orgánica (%): 3.13|0.58|0.58|0.27|
HORIZONTE->Carbono Orgánico (%): 1.82|0.34|0.34|0.16|0.06
HORIZONTE->Nitrógeno total (%): 0.16|0.08|0.05|0.03|
HORIZONTE->Relación C/N: 11.1|3.9|6.5|4.2|
HORIZONTE->Arcilla, <2 u (%): 21.1|22.4|19.4|12.7|11.4
HORIZONTE->Limo, 2-50 u (%): 64.6|59.9|62.4|60.2|61
HORIZONTE->Arena muy fina, 50-100 u (%): 12.2|17.5|17.5|25.1|24.3
HORIZONTE->Arena fina, 100-250 u (%): 0.4|0.5|0.7|0.9|0.84
HORIZONTE->Arena media, 250-500 u (%): ||||
HORIZONTE->Arena gruesa, 500-1000 u (%): ||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): ||||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|0|4.61
HORIZONTE->Equivalente de humedad (%): 26|26.4|22.2|19.3|19
HORIZONTE->pH en pasta: 6|5.8|6.1|6.7|7
HORIZONTE->pH en agua 1:2,5: 6.1|6.7|7.3|7.6|7.7
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 12.6|13.1|13.6|13| 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 3.3|3.9|2.2|3|
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.2|0.3|0.2|0.2|0.3
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 2.6|2.3|1.4|1.6|1.9
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 2.6|1.7|1||
HORIZONTE->Na+, % del valor T: ||||
HORIZONTE->Suma de bases, me/100 gr (S): 18.7|19.6|17.4|17.8|
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 21.0|21.3|18.4|17|16.8
HORIZONTE->Saturación con bases, % (S/T): 89.0|92.0|95.6|100|
