--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: e|bt|bc|ck
HORIZONTE->Profundidad de la muestra (cm): 0-16|16-49|49-76|76 a +
HORIZONTE->Materia Orgánica (%): 2.32|0.99||
HORIZONTE->Carbono Orgánico (%): 1.35|0.58|0.31|0.14
HORIZONTE->Nitrógeno total (%): 0.137|0.083|0.060|0.040
HORIZONTE->Relación C/N: 9.8|7.0|5.2|3.5
HORIZONTE->Arcilla, <2 u (%): 26.3|36.1|33.6|24.9
HORIZONTE->Limo, 2-50 u (%): 66.0|57.0|59.3|67.7
HORIZONTE->Arena muy fina, 50-100 u (%): 6.0|4.8|6.3|7.4
HORIZONTE->Arena fina, 100-250 u (%): 0.9|0.6|0.5|0.6
HORIZONTE->Arena media, 250-500 u (%): |||
HORIZONTE->Arena gruesa, 500-1000 u (%): |||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): |||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|0.56
HORIZONTE->Equivalente de humedad (%): 26.7|31.2|30.7|31.9
HORIZONTE->pH en pasta: 6.7|7.6|7.6|7.8
HORIZONTE->pH en agua 1:2,5: |||
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 15.2|16.3|14.0| 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 2.1|3.5|2.7|
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 1.4|3.9|4.4|6.2
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 3|4.8|4.8|1.1
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 1.60|||
HORIZONTE->Na+, % del valor T: |13.9|16.4|23.8
HORIZONTE->Conductividad, mmhos/cm: |||4.44
HORIZONTE->Suma de bases, me/100 gr (S): 21.7|28.5|26.9|
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 22|28|26.8|26
HORIZONTE->Saturación con bases, % (S/T): 98.6|100|100|
HORIZONTE->Composición extracto de saturación, me/1-Ca++: |||9.1
HORIZONTE->Composición extracto de saturación, me/1-Mg++: |||0.6
HORIZONTE->Composición extracto de saturación, me/1-Na+: |||37.0
HORIZONTE->Composición extracto de saturación, me/1-K+: |||1.95
HORIZONTE->Composición extracto de saturación, me/1-HCO3-: |||1.5
HORIZONTE->Composición extracto de saturación, me/1-SO4=: |||31.0
HORIZONTE->Composición extracto de saturación, me/1-Cl-: |||14.0
