--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap|bt|bw|bc|ck
HORIZONTE->Profundidad de la muestra (cm): 0-17|17-38|38-53|53-86|86 a +
HORIZONTE->Materia Orgánica (%): 1.85|0.72|||
HORIZONTE->Carbono Orgánico (%): 1.08|0.42|0.21|0.15|0.10
HORIZONTE->Nitrógeno total (%): 0.12|0.06|0.04|0.03|0.02
HORIZONTE->Relación C/N: 8.6|6.7|4.6|4.0|3.4
HORIZONTE->Arcilla, <2 u (%): 14.6|19.9|15.7|13.6|11.5
HORIZONTE->Limo, 2-50 u (%): 72.6|67.7|68.9|69.8|71.6
HORIZONTE->Arena muy fina, 50-100 u (%): 11.9|10.9|12.4|14.8|15.6
HORIZONTE->Arena fina, 100-250 u (%): 0.9|1.5|1.7|1.3|1.4
HORIZONTE->Arena media, 250-500 u (%): ||1.6||
HORIZONTE->Arena gruesa, 500-1000 u (%): ||0.7||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): ||||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0.44|1.28|0.70|3.52
HORIZONTE->Equivalente de humedad (%): 26.3|32.5|28|23.3|22.7
HORIZONTE->pH en pasta: 5.5|8.3|8.5|8.5|8.8
HORIZONTE->pH en agua 1:2,5: 6.0|9.3|9.5|9.5|9.7
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 8.8|||| 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 1.4||||
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.2|12.0|12.4|10.8|10.4
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 2.9|4.0|4.0|5.0|4.0
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 3.1||||
HORIZONTE->Na+, % del valor T: |48.3|54.3|54.8|52.7
HORIZONTE->Suma de bases, me/100 gr (S): 13.3||||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 16.8|24.8|22.8|19.7|19.7
HORIZONTE->Saturación con bases, % (S/T): 79.1||||
HORIZONTE->Composición extracto de saturación, me/1-Ca++: |5.2|5.9|5.2|5.7
HORIZONTE->Composición extracto de saturación, me/1-Mg++: ||0.1||0.08
HORIZONTE->Composición extracto de saturación, me/1-Na+: |45.0|50.0|53.0|69.0
HORIZONTE->Composición extracto de saturación, me/1-K+: |0.75|0.8|0.9|1.0
HORIZONTE->Composición extracto de saturación, me/1-HCO3-: |9.3|7.6|6.8|10.0
HORIZONTE->Composición extracto de saturación, me/1-SO4=: |20.5|35.6|34.6|47.9
HORIZONTE->Composición extracto de saturación, me/1-Cl-: |22.6|12.8|16.0|16.0
