--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ek|btk|bck|ck
HORIZONTE->Profundidad de la muestra (cm): 0-18|18-54|54-85|85 a +
HORIZONTE->Materia Orgánica (%): 2.16|1.02||
HORIZONTE->Carbono Orgánico (%): 1.2|0.6||
HORIZONTE->Nitrógeno total (%): 0.16|0.09||
HORIZONTE->Relación C/N: 7.5|6.7||
HORIZONTE->Arcilla, <2 u (%): 16.3|20.5|17.7|16.6
HORIZONTE->Limo, 2-50 u (%): 61.2|65.8|65.4|73.3
HORIZONTE->Arena muy fina, 50-100 u (%): 19.2|16.1|17.6|8.9
HORIZONTE->Arena fina, 100-250 u (%): 0.6|0.7|0.7|1.0
HORIZONTE->Arena media, 250-500 u (%): 0.1||0.1|
HORIZONTE->Arena gruesa, 500-1000 u (%): |||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): |||
HORIZONTE->Calcáreo, CaCO3 (%): 1.4|4.7|3.5|6.4
HORIZONTE->Equivalente de humedad (%): 22.4|24.6|22.9|22.9
HORIZONTE->pH en pasta: 7.6|8.1|8.6|8.8
HORIZONTE->pH en agua 1:2,5: 7.8|8.5|9.0|9.2
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: |||
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: |||
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.6|1.6|4.3|5.0
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 3.8|3.4|2.5|1.8
HORIZONTE->Cationes de intercambio, me/100 gr-H+: |||
HORIZONTE->Na+, % del valor T: 3|9|27|38
HORIZONTE->Suma de bases, me/100 gr (S): |||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 17.9|16.7|15.7|13.0
HORIZONTE->Saturación con bases, % (S/T): |||
