--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a1|e|bt|bck|ck
HORIZONTE->Profundidad de la muestra (cm): 0-20|20-26|26-48|48-72|72 a +
HORIZONTE->Materia Orgánica (%): 2.24|1.20|0.51|0.17|
HORIZONTE->Carbono Orgánico (%): 1.3|0.7|0.3|0.1|
HORIZONTE->Nitrógeno total (%): 0.15|0.11|0.08||
HORIZONTE->Relación C/N: 8.7|6.4|3.7||
HORIZONTE->Arcilla, <2 u (%): 12.3|11.2|14.6|11.7|8.1
HORIZONTE->Limo, 2-50 u (%): 68.0|69.9|64.9|64.2|64.9
HORIZONTE->Arena muy fina, 50-100 u (%): 16.3|17.9|14.6|20.4|23.6
HORIZONTE->Arena fina, 100-250 u (%): 1.5|1.6|2.8|1.4|1.2
HORIZONTE->Arena media, 250-500 u (%): 0.2||0.4|0.2|
HORIZONTE->Arena gruesa, 500-1000 u (%): 0.3||1.1|0.2|
HORIZONTE->Arena muy gruesa, 1-2 mm (%): ||0.2||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|1.3|3.1|4.3
HORIZONTE->Equivalente de humedad (%): 15.1|19.3|25.1|24.8|22.6
HORIZONTE->pH en pasta: 5.6|6.3|8.2|8.9|8.9
HORIZONTE->pH en agua 1:2,5: 5.8|6.5|8.8|9.5|9.6
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 8.6|6.7||| 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 0.5|1.5|||
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.2|0.6|5.8|7.6|
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 3.1|2.0|4.0|4.5|
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 2.3|1.6|||
HORIZONTE->Na+, % del valor T: ||30.53|42.46|37.5
HORIZONTE->Conductividad, mmhos/cm: |||4.41|8.23
HORIZONTE->Suma de bases, me/100 gr (S): 12.5|10.8|||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 14.6|12.5|19.0|17.9|15.7
HORIZONTE->Saturación con bases, % (S/T): 86|86|||
HORIZONTE->Composición extracto de saturación, me/1: Ca++: |||3.3|4.9
HORIZONTE->Composición extracto de saturación, me/1-Mg++: |||1.6|1.7
HORIZONTE->Composición extracto de saturación, me/1-Na+: |||39.9|76.8
HORIZONTE->Composición extracto de saturación, me/1-K+: |||1.8|0.8
HORIZONTE->Composición extracto de saturación, me/1-HCO3-: |||12.4|14.4
HORIZONTE->Composición extracto de saturación, me/1-SO4=: |||12.3|27.4
HORIZONTE->Composición extracto de saturación, me/1-Cl-: |||22.4|44.8
