--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: e1|e2|bt1|bt2k|bck|ck
HORIZONTE->Profundidad de la muestra (cm): 0-12|12-29|29-55|55-75|75-100|100 a +
HORIZONTE->Materia Orgánica (%): 2.5|2|0.8|0.35||
HORIZONTE->Carbono Orgánico (%): 1.5|1.2|0.5|0.2||
HORIZONTE->Nitrógeno total (%): 0.15|0.13|0.07|||
HORIZONTE->Relación C/N: 10.0|9.2|7.1|||
HORIZONTE->Arcilla, <2 u (%): 16.3|14.4|18.8|18.1|17.1|15.6
HORIZONTE->Limo, 2-50 u (%): 73.1|74.6|60.9|69.4|71.3|70.6
HORIZONTE->Arena muy fina, 50-100 u (%): 7.9|7.6|20.5|10.7|11.3|11.3
HORIZONTE->Arena fina, 100-250 u (%): 0.7|1.4|0.7|1.0|1.2|1.2
HORIZONTE->Arena media, 250-500 u (%): 0.2|0.2||0.1|0.1|0.1
HORIZONTE->Arena gruesa, 500-1000 u (%): 0.2|0.2||0.1|0.1|0.1
HORIZONTE->Arena muy gruesa, 1-2 mm (%): |||||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0.8|7.9|6.5|5.1
HORIZONTE->Equivalente de humedad (%): 24.0|22.8|27.0|23.3|22.3|20.5
HORIZONTE->pH en pasta: 6.4|6.6|7.4|7.8|8.0|8.1
HORIZONTE->pH en agua 1:2,5: 6.7|6.9|7.7|8.1|8.3|8.4
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 13.9|11.9||||
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 0.5|0.7||||
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.4|0.2|0.2|0.3|0.5|0.7
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 2.9|2.6|3.4|3.0|3.2|3.4
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 1.3|0.8||||
HORIZONTE->Na+, % del valor T: 2.1|1.2|0.9|1.7|3.0|4.5
HORIZONTE->Suma de bases, me/100 gr (S): 17.7|15.4||||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 18.8|16.4|22.9|17.2|16.7|15.7
HORIZONTE->Saturación con bases, % (S/T): 94|94||||
