--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap|e|bt|bcz1|bck2|ck
HORIZONTE->Profundidad de la muestra (cm): 0-14|14-22|22-46|46-66|66-100|100 a +
HORIZONTE->Materia Orgánica (%): 2,59|1,56|0,77|||
HORIZONTE->Carbono Orgánico (%): 1,51|0,91|0,45|0,19|0,11|0,07
HORIZONTE->Nitrógeno total (%): 0,14|0,10|0,07|0,05|0,04|0,03
HORIZONTE->Relación C/N: 10|9|6|4|3|2
HORIZONTE->Arcilla, <2 u (%): 23,4|20,9|29,6|21,6|16,2|14,4
HORIZONTE->Limo, 2-50 u (%): 51,8|53,2|53,0|47,3|48,0|53,3
HORIZONTE->Arena muy fina, 50-100 u (%): 18,5|24,8|16,5|29,8|28,8|26,6
HORIZONTE->Arena fina, 100-250 u (%): 6,3|1,2|0,9|1,1|1,4|2,0
HORIZONTE->Arena media, 250-500 u (%): |||||
HORIZONTE->Arena gruesa, 500-1000 u (%): |||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): |||||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|0,2|5,6|3,7
HORIZONTE->Equivalente de humedad (%): 24,2|24,5|29,1|24,5|21,2|21,1
HORIZONTE->pH en pasta: 5,9|6,6|7,2|7,7|8,0|9,0
HORIZONTE->pH en agua 1:2,5: 6,6|7,7|7,5|8,3|8,7|9,0
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 9,4|10,2|12,1||| 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 4,8|4,7|5,3|||
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0,7|1,5|3,9|4,2|6,7|8,4
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 2,7|2,8|3,2|3,1|3,3|3,3
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 6,0|4,2|3,0|||
HORIZONTE->Na+, % del valor T: |7,6|15,4|20|36,6|56,0
HORIZONTE->Conductividad, mmhos/cm: ||5,2|13,0|9,6|9,9
HORIZONTE->Suma de bases, me/100 gr (S): 17,6|19,2|24,5|||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 19,0|19,0|25,3|21,0|18,3|15,0
HORIZONTE->Saturación con bases, % (S/T): 92|97|97|||
