--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: a1|bw|bc|c|ck
HORIZONTE->Profundidad de la muestra (cm): 0-17|17-38|38-62|62-80|80 a +
HORIZONTE->Materia Orgánica (%): 3.01|1.87|1.15|0.43|0.34
HORIZONTE->Carbono Orgánico (%): 1.75|1.09|0.67|0.25|0.20
HORIZONTE->Nitrógeno total (%): 0.17|0.13|0.06|0.05|0.05
HORIZONTE->Relación C/N: 10.1|8.0|9.8|4.3|3.8
HORIZONTE->Arcilla, <2 u (%): 19.5|21.5|15.5|11.1|13.4
HORIZONTE->Limo, 2-50 u (%): 65.8|60.0|63.8|63.7|63.6
HORIZONTE->Arena muy fina, 50-100 u (%): 14.0|17.9|16.3|21.8|19.0
HORIZONTE->Arena fina, 100-250 u (%): 2.9|1.1|4.27|4.3|3.6
HORIZONTE->Arena media, 250-500 u (%): ||||
HORIZONTE->Arena gruesa, 500-1000 u (%): ||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): ||||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|0|3.73
HORIZONTE->Equivalente de humedad (%): 25.4|25.4|20.9|18.7|19
HORIZONTE->pH en pasta: 6.2|6.6|6.9|7.1|7.9
HORIZONTE->pH en agua 1:2,5: 6.3|6.7|7.1|7.3|8.4
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 11|14|11.7|11.4| 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 5|2.6|3.6|2.6|
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.3|0.3|0.4|0.4|0.5
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 2|1.5|0.9|1.2|1
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 2.5|1.7|1.1|0.8|
HORIZONTE->Na+, % del valor T: ||||
HORIZONTE->Suma de bases, me/100 gr (S): 18.3|18.4|16.6|15.6|
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 20.8|20.1|17.4|16.2|15.2
HORIZONTE->Saturación con bases, % (S/T): 87.9|91.5|95.4|96.2|
