--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap|a|bt1|bt2|bck|ck
HORIZONTE->Profundidad de la muestra (cm): 0-13|13-24|24-49|49-72|72-104|104 a +
HORIZONTE->Materia Orgánica (%): 2.04|1.7|1|0.85|0.51|
HORIZONTE->Carbono Orgánico (%): 1.2|1.0|0.6|0.5|0.3|
HORIZONTE->Nitrógeno total (%): 0.13|0.12|0.09|0.08||
HORIZONTE->Relación C/N: 9.2|8.3|6.7|6.2||
HORIZONTE->Arcilla, <2 u (%): 12.9|16.9|25.2|24.6|13.5|10.4
HORIZONTE->Limo, 2-50 u (%): 48.8|50.1|48.6|50.7|57.2|56.9
HORIZONTE->Arena muy fina, 50-100 u (%): 10.0|9.3|7.7|8.2|8.7|11.2
HORIZONTE->Arena fina, 100-250 u (%): 19.8|18.0|14.5|13.7|16.7|16.7
HORIZONTE->Arena media, 250-500 u (%): 2.7|2.1|2.1|1.7|1.8|1.6
HORIZONTE->Arena gruesa, 500-1000 u (%): 3.5|3.1|2.9|2.3|2.1|2.3
HORIZONTE->Arena muy gruesa, 1-2 mm (%): 0.3|0.4|0.4|0.3|0.1|0.5
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|0|0.8|1.7
HORIZONTE->Equivalente de humedad (%): 17.8|22.0|25.9|23.1|22.1|22.9
HORIZONTE->PH en pasta: 5.4|6.0|6.7|6.8|7.6|8.5
HORIZONTE->PH en agua 1:2,5: 5.7|6.3|6.9|7.1|7.9|9.2
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 5.2|7.7|13.4|14.0||
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 1.5|1.2|1.4|1.6||
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.1|0.1|0.3|0.3|0.4|10.1
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 1.6|1.3|1.6|0.9|1.8|1.1
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 2.7|1.6|0.9|0.6||
HORIZONTE->Na+, % del valor T: 0.9|0.8|1.2|1.2|2.7|58
HORIZONTE->Suma de bases, me/100 gr (S): 8.4|10.3|16.7|16.8||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 11.0|12.1|17.8|17.4|17.9|17.3
HORIZONTE->Saturación con bases, % (S/T): 76|85|94|96||
