--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: e|bt1|bt2|bc|ck
HORIZONTE->Profundidad de la muestra (cm): 0-9|9-32|32-46|46-74|74 a +
HORIZONTE->Materia Orgánica (%): 2.13|0.75|||
HORIZONTE->Carbono Orgánico (%): 1.24|0.44|0.14|0.08|0.06
HORIZONTE->Nitrógeno total (%): 0.15|0.06|0.04||
HORIZONTE->Relación C/N: 7.9|7.0|3.3||
HORIZONTE->Arcilla, <2 u (%): 11.3|19.2|18.9|16.0|9.6
HORIZONTE->Limo, 2-50 u (%): 73.4|65.7|66.8|71.4|62.2
HORIZONTE->Arena muy fina, 50-100 u (%): 11.2|9.2|9.7|10.3|21.8
HORIZONTE->Arena fina, 100-250 u (%): 4.2|4.3|3.9|3.9|5.4
HORIZONTE->Arena media, 250-500 u (%): 0.2|0.9|0.1||
HORIZONTE->Arena gruesa, 500-1000 u (%): ||||
HORIZONTE->Arena muy gruesa, 1-2 mm (%): ||||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0.63|0.81|0.84|1.87
HORIZONTE->Equivalente de humedad (%): 20.8|33.5|37.4|30|21
HORIZONTE->pH en pasta: 6.3|9.4|9.1|9.0|8.8
HORIZONTE->pH en agua 1:2,5: 6.8|10|9.7|9.7|9.6
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 6.1||||
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 1.4||||
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 3.8|20.8|18.0|12.4|4.6
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 2.4|3.6|3.4|2.7|1.9
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 0.90||||
HORIZONTE->Na+, % del valor T: 26.4|76.4|70.8|50.9|25.8
HORIZONTE->Conductividad, mmhos/cm: 5.58||||
HORIZONTE->Suma de bases, me/100 gr (S): 13.7||||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 14.4|27.2|25.4|20.8|17.8
HORIZONTE->Saturación con bases, % (S/T): 95||||
