--------------------------------------------------------------------------------------------------------------------------------------------------------------
ID..........................: 7
CLASIFICACION...............: FALTA!
SERIE.......................: FALTA!
UBICACION...................: FALTA!
PROVINCIA...................: CORDOBA
LATITUD.....................: FALTA!
LONGITUD....................: FALTA!
ALTITUD.....................: FALTA!
PENDIENTE...................: FALTA!
DRENAJE.....................: FALTA!
ESCURRIMIENTO...............: FALTA!
PERMEABILIDAD...............: FALTA!
TIPO DE SUELO...............: FALTA!
COLOR ......................: FALTA!
HORIZONTE->NOMBRE(S)........: ap|e|bt|bc|c|ck
HORIZONTE->Profundidad de la muestra (cm): 0-15|15-27|27-55|55-77|77-93|93 a +
HORIZONTE->Materia Orgánica (%): 2.23|1.49|0.91|||
HORIZONTE->Carbono Orgánico (%): 1.30|0.87|0.53|0.16||0.13
HORIZONTE->Nitrógeno total (%): 0.15|0.09|0.07|0.03|0.03|0.02
HORIZONTE->Relación C/N: 8.5|9.6|7.5|4.3||4.5
HORIZONTE->Arcilla, <2 u (%): 17.4|13.9|19.1|16.1|13.9|11.7
HORIZONTE->Limo, 2-50 u (%): 39.1|46.4|45.7|47.4|51.0|52.8
HORIZONTE->Arena muy fina, 50-100 u (%): 14.8|13.3|13.5|14.7|15.4|17.5
HORIZONTE->Arena fina, 100-250 u (%): 24.5|22.0|19.8|17.6|18.9|18.6
HORIZONTE->Arena media, 250-500 u (%): 1.8|1.2|1.1|0.7|0.6|0.4
HORIZONTE->Arena gruesa, 500-1000 u (%): 1.1|0.5|0.9|0.4|0.4|0.1
HORIZONTE->Arena muy gruesa, 1-2 mm (%): |||||
HORIZONTE->Calcáreo, CaCO3 (%): 0|0|0|0.28|0.21|2.55
HORIZONTE->Equivalente de humedad (%): 16.1|16.1|20.4|19.2|16.9|16.6
HORIZONTE->pH en pasta: 4.9|6.8|7.3|8.3|8.5|8.5
HORIZONTE->pH en agua 1:2,5: 5|7.2|7.7|9|9.2|9.5
HORIZONTE->Cationes de intercambio, me/100 gr-Ca++: 5.4|7.4|10.3||| 
HORIZONTE->Cationes de intercambio, me/100 gr-Mg++: 1.4|1.7|1.4|||
HORIZONTE->Cationes de intercambio, me/100 gr-Na+: 0.1|1|3.4|6.4|7.8|7.0
HORIZONTE->Cationes de intercambio, me/100 gr-K+: 1.9|1.5|1.9|||
HORIZONTE->Cationes de intercambio, me/100 gr-H+: 4.34|||||
HORIZONTE->Na+, % del valor T: |8.6|20.7|41.67|49.66|45.02
HORIZONTE->Conductividad, mmhos/cm: ||4.45|14.47|16.49|14.47
HORIZONTE->Suma de bases, me/100 gr (S): 8.8|11.6|16.7|||
HORIZONTE->Capacidad de intercambio catiónico, me/100 gr (T): 12.4|11.6|16.4|15.2|15.6|15.6
HORIZONTE->Saturación con bases, % (S/T): 71|100|100|||
